"","기업명","본사주소","직원수","2020년매출액(천원)","입사율(연간 입사자)","퇴사율(연간 퇴사자"
"49","한국전자통신연구원","대전 유성구 가정로 218","1,000명 이상",NA,"18.32 % (548 명)","18.02 % (539 명)"
"50","로드와이즈","서울 구로구 디지털로26길 61, 16층 1602호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","46.15 % (12 명)","42.31 % (11 명)"
"51","클루커스","서울 강남구 논현로75길 6","100명 이상 ~ 200명 미만","34,094,132","90.43 % (104 명)","26.09 % (30 명)"
"52","아키타입컴퍼니","서울 종로구 효자로 15, 2층 201호, 202호","100명 이상 ~ 200명 미만","10억원 ~ 50억원","187.50 % (90 명)","68.75 % (33 명)"
"53","한국남부발전","부산 남구 문현금융로 40, 30층 30층, 31층, 32층, 33층, 34층, 35층","1,000명 이상","4,015,941,231","14.75 % (380 명)","13.31 % (343 명)"
"54","(사)금융결제원","서울 강남구 논현로 432","700명 이상 ~ 1000명 미만",NA,"2.48 % (18 명)","4.55 % (33 명)"
"55","한국동서발전","울산 중구 종가로 395","1,000명 이상","4,155,415,684","15.57 % (384 명)","13.94 % (344 명)"
"56","한국산업은행","서울 영등포구 은행로 14","1,000명 이상",NA,"14.34 % (498 명)","10.97 % (381 명)"
"57","한국서부발전","충남 태안군 태안읍 중앙로 285","1,000명 이상","3,605,986,352","13.53 % (360 명)","11.69 % (311 명)"
"58","건설공제조합","서울 강남구 언주로 711","400명 이상 ~ 700명 미만",NA,"3.66 % (17 명)","8.39 % (39 명)"
"59","기술보증기금","부산 남구 문현금융로 33","1,000명 이상",NA,"15.91 % (236 명)","11.73 % (174 명)"
"60","예금보험공사","서울 중구 청계천로 30","700명 이상 ~ 1000명 미만",NA,"18.09 % (140 명)","16.54 % (128 명)"
"61","당근마켓",NA,NA,NA,NA,NA
"62","파이토웨이","서울 강남구 테헤란로 332, 5층 501호","20명 이상 ~ 40명 미만","50억원 ~ 100억원","143.75 % (23 명)","75.00 % (12 명)"
"63","SK이노베이션","서울 종로구 종로 26","1,000명 이상","4,193,658,674","24.36 % (624 명)","70.45 % (1805 명)"
"64","한국항공우주연구원",NA,NA,NA,NA,NA
"65","네이버클라우드","경기 성남시 분당구 분당내곡로 117, 11층","400명 이상 ~ 700명 미만","622,121,155","47.62 % (340 명)","20.73 % (148 명)"
"66","피엑스디","서울 강남구 도산대로 139, 6층","70명 이상 ~ 100명 미만",NA,"47.67 % (41 명)","37.21 % (32 명)"
"67","한국가스안전공사","충북 음성군 맹동면 원중로 1390","1,000명 이상","1000억원 ~ 5000억원","18.88 % (313 명)","17.67 % (293 명)"
"68","한국수력원자력","경북 경주시 문무대왕면 불국로 1655","1,000명 이상","9,938,940,514","13.57 % (1698 명)","11.48 % (1436 명)"
"69","에브리데이해피","경기 의정부시 가능로125번길 12","20명 이상 ~ 40명 미만",NA,"89.47 % (17 명)","94.74 % (18 명)"
"70","더라이징스타","서울 강남구 언주로 630, 2층","70명 이상 ~ 100명 미만",NA,"129.52 % (136 명)","158.10 % (166 명)"
"71","한국선급","부산 서구 원양로 105, (원양프라자50",NA,NA,NA,NA
"72","한국주택금융공사","부산 남구 문현금융로 40","700명 이상 ~ 1000명 미만",NA,"49.78 % (453 명)","43.85 % (399 명)"
"73","한국지역난방공사","경기 성남시 분당구 분당로 368","1,000명 이상","2,098,906,300","8.49 % (176 명)","7.28 % (151 명)"
"74","현대하이스코","울산 북구 염포로 706",NA,NA,NA,NA
"75","()한국지질자원연구원",NA,NA,NA,NA,NA
"76","금새인터랙티브","서울 서초구 강남대로85길 5, 8층","20명 이상 ~ 40명 미만","10억원 ~ 50억원","490.91 % (54 명)","318.18 % (35 명)"
"77","남해화학","서울 강남구 테헤란로113길 15","400명 이상 ~ 700명 미만","1,009,845,248","10.84 % (49 명)","13.94 % (63 명)"
"78","시만텍코리아",NA,NA,NA,NA,NA
"79","이넵스","경기 용인시 기흥구 흥덕중앙로 120, 2605호","200명 이상 ~ 400명 미만","100억원 ~ 500억원","404.85 % (417 명)","144.66 % (149 명)"
"80","한전원자력연료","대전 유성구 대덕대로989번길 242","1,000명 이상","331,228,204","11.13 % (123 명)","15.29 % (169 명)"
"81","케이엘에이텐코코리아","경기 화성시 동탄순환대로 830, 14층, 15층","400명 이상 ~ 700명 미만","160,832,638","48.48 % (208 명)","16.55 % (71 명)"
"82","한국무역협회(사)",NA,NA,NA,NA,NA
"83","로크웰오토메이션코리아","서울 강남구 논현로 430, 6층,7층","100명 이상 ~ 200명 미만","82,543,694","19.55 % (26 명)","14.29 % (19 명)"
"84","신용보증기금","대구 동구 첨단로 7","1,000명 이상",NA,"30.99 % (846 명)","27.73 % (757 명)"
"85","에스에이피랩스코리아","서울 서초구 반포대로 235, 17층,18층","200명 이상 ~ 400명 미만","47,350,188","22.96 % (59 명)","19.46 % (50 명)"
