"","기업명","본사주소","직원수","2020년매출액(천원)","입사율(연간 입사자)","퇴사율(연간 퇴사자"
"343","케이투코리아","서울 강남구 자곡로 174-14, 901호","200명 이상 ~ 400명 미만","352,255,728","16.04 % (51 명)","16.67 % (53 명)"
"344","한국보건사회연구원","세종 시청대로 370, 사회정책동 1층-5층","200명 이상 ~ 400명 미만","100억원 ~ 500억원","37.44 % (79 명)","33.18 % (70 명)"
"345","흥아기연","인천 계양구 서운산단로1길 65","100명 이상 ~ 200명 미만","55,132,160","12.41 % (17 명)","6.57 % (9 명)"
"346","더부엔지니어링","서울 송파구 법원로11길 25, B동 606, 607호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","32.35 % (11 명)","26.47 % (9 명)"
"347","와이즈플래닛컴퍼니","서울 금천구 벚꽃로 244, 906호","40명 이상 ~ 70명 미만","50억원 ~ 100억원","26.98 % (17 명)","44.44 % (28 명)"
"348","포스코인터내셔널","서울 강남구 테헤란로 134","1,000명 이상","19,224,845,261","12.47 % (174 명)","9.03 % (126 명)"
"349","포스코케미칼","경북 포항시 남구 신항로 110","1,000명 이상","1,524,145,793","23.55 % (394 명)","8.31 % (139 명)"
"350","농업협동조합중앙회","서울 중구 새문안로 16",NA,NA,NA,NA
"351","어플라이드머티어리얼즈코리아","경기 성남시 분당구 양현로 322, 5층","1,000명 이상","797,928,353","30.50 % (514 명)","16.38 % (276 명)"
"352","지이에너지코리아",NA,NA,NA,NA,NA
"353","한국건설기술연구원","경기 고양시 일산서구 고양대로 283","700명 이상 ~ 1000명 미만","1000억원 ~ 5000억원","9.41 % (77 명)","10.64 % (87 명)"
"354","한국토요타자동차","서울 강남구 논현로 508, 7층","100명 이상 ~ 200명 미만","798,046,460","14.55 % (16 명)","13.64 % (15 명)"
"355","바이오일레븐",NA,NA,NA,NA,NA
"356","씨커스","경북 포항시 북구 흥해읍 이인리포항융합기술산업지구 아이6블록 1로트 408호,409호","1명 이상 ~ 20명 미만","5억원 ~ 10억원","33.33 % (5 명)","26.67 % (4 명)"
"357","에이치시티","경기 이천시 마장면 서이천로578번길 74","200명 이상 ~ 400명 미만","51,156,650","25.46 % (83 명)","15.34 % (50 명)"
"358","엔씨소프트","서울 강남구 테헤란로 509","1,000명 이상","2,242,430,937","27.35 % (1212 명)","18.35 % (813 명)"
"359","위픽코퍼레이션","서울 성동구 연무장5길 18, 6층","20명 이상 ~ 40명 미만","10억원 ~ 50억원","159.09 % (35 명)","136.36 % (30 명)"
"360","한국토지신탁","서울 강남구 테헤란로 137, 16-20층","200명 이상 ~ 400명 미만",NA,"16.03 % (38 명)","10.55 % (25 명)"
"361","엘지생명과학",NA,NA,NA,NA,NA
"362","현대해상화보험",NA,NA,NA,NA,NA
"363","네모파트너즈피오씨","서울 강남구 테헤란로 521, 30층","20명 이상 ~ 40명 미만",NA,"27.27 % (6 명)","9.09 % (2 명)"
"364","신세계","서울 중구 소공로 63","1,000명 이상","1,459,802,056","31.59 % (883 명)","36.89 % (1031 명)"
"365","액션스퀘어","서울 강남구 테헤란로 419, 20층","100명 이상 ~ 200명 미만","6,334,978","212.50 % (34 명)","156.25 % (25 명)"
"366","후성","경기 화성시 팔탄면 현대기아로 72-37","200명 이상 ~ 400명 미만","237,239,900","22.73 % (10 명)","15.91 % (7 명)"
"367","삼천리","서울 영등포구 국제금융로6길 42","700명 이상 ~ 1000명 미만","2,394,992,384","7.47 % (59 명)","4.18 % (33 명)"
"368","아나패스","서울 구로구 디지털로31길 61","100명 이상 ~ 200명 미만","100,955,537","15.75 % (20 명)","27.56 % (35 명)"
"369","유엔난민기구","서울 중구 무교로 6, 7층",NA,NA,NA,NA
"370","한국히타치","서울 종로구 청계천로 41, 10층","20명 이상 ~ 40명 미만","19,879,696","9.38 % (3 명)","9.38 % (3 명)"
"371","광주과학기술원","광주 북구 첨단과기로 123","400명 이상 ~ 700명 미만","1000억원 ~ 5000억원","76.77 % (314 명)","58.68 % (240 명)"
"372","김밥천국","서울 서초구 서초중앙로 114, 304호",NA,NA,NA,NA
"373","농협목우촌","서울 강동구 올림픽로 528","400명 이상 ~ 700명 미만","635,160,310","40.43 % (188 명)","40.22 % (187 명)"
"374","대한무역투자진흥공사","서울 서초구 헌릉로 13","1,000명 이상",NA,"31.24 % (408 명)","30.25 % (395 명)"
"375","디지털퍼스트","서울 용산구 서빙고로 17, 25층","100명 이상 ~ 200명 미만","10,483,988","50.34 % (73 명)","42.07 % (61 명)"
"376","미래에셋자산운용","서울 종로구 종로 33","400명 이상 ~ 700명 미만",NA,"37.13 % (176 명)","16.24 % (77 명)"
"377","사회복지법인월드비전","서울 영등포구 여의나루로 77-1","400명 이상 ~ 700명 미만","1000억원 ~ 5000억원","27.45 % (137 명)","23.25 % (116 명)"
"378","아산나눔단",NA,NA,NA,NA,NA
"379","에스에이치공사",NA,NA,NA,NA,NA
"380","SK","서울 종로구 종로 26","1,000명 이상","3,473,984,000","12.55 % (537 명)","12.08 % (517 명)"
"381","오로스테크놀로지","경기 화성시 동탄산단6길 15-23","100명 이상 ~ 200명 미만","17,537,288","67.35 % (66 명)","26.53 % (26 명)"
"382","이원","전북 전주시 덕진구 오공로 43-34, 601호, 603호","1명 이상 ~ 20명 미만","~ 5억원 이하","162.50 % (13 명)","62.50 % (5 명)"
"383","제일사료","대전 대덕구 대전로1331번길 240","200명 이상 ~ 400명 미만","565,329,861","19.94 % (68 명)","9.97 % (34 명)"
"384","한국원자력환경공단","경북 경주시 충효천길 19","200명 이상 ~ 400명 미만","1000억원 ~ 5000억원","18.83 % (74 명)","17.05 % (67 명)"
"385","버즈니","서울 관악구 남부순환로 1832, 3층,10층,11층,12층,14층","70명 이상 ~ 100명 미만","50억원 ~ 100억원","44.00 % (33 명)","34.67 % (26 명)"
"386","연합인포맥스","서울 종로구 율곡로2길 25, 10층","100명 이상 ~ 200명 미만","43,663,385","15.43 % (27 명)","13.71 % (24 명)"
"387","제우스","경기 화성시 안녕남로 132","400명 이상 ~ 700명 미만","212,125,124","17.25 % (108 명)","13.74 % (86 명)"
"388","탑앤스카우트","서울 강남구 봉은사로18길 4, 4층","1명 이상 ~ 20명 미만",NA,"27.27 % (3 명)","45.45 % (5 명)"
"389","투게더스","인천 부평구 부평대로 301, 901호","20명 이상 ~ 40명 미만","50억원 ~ 100억원","15.00 % (6 명)","25.00 % (10 명)"
"390","넥슨지티","경기 성남시 분당구 판교로256번길 25, 씨3-7","100명 이상 ~ 200명 미만","26,436,733","18.50 % (32 명)","9.25 % (16 명)"
"391","노보노디스크제약","서울 송파구 올림픽로35길 137, 16층","200명 이상 ~ 400명 미만","169,945,934","20.53 % (39 명)","15.26 % (29 명)"
"392","메트라이프생명보험","서울 강남구 테헤란로 316","400명 이상 ~ 700명 미만",NA,"18.64 % (110 명)","17.12 % (101 명)"
"393","산업연구원","세종 시청대로 370","200명 이상 ~ 400명 미만","100억원 ~ 500억원","21.40 % (46 명)","18.60 % (40 명)"
"394","생명보험협회(사)",NA,NA,NA,NA,NA
"395","시스코시스템즈코리아","서울 강남구 영동대로 517, 5층","200명 이상 ~ 400명 미만","500억원 ~ 1000억원","25.93 % (77 명)","14.81 % (44 명)"
"396","신용보증단중앙회",NA,NA,NA,NA,NA
"397","애플코리아","서울 강남구 영동대로 517, 3901호","700명 이상 ~ 1000명 미만","5,712,920,000","30.36 % (218 명)","14.62 % (105 명)"
"398","워터월시스템즈","서울 금천구 벚꽃로 298, 309호,310호,311호","40명 이상 ~ 70명 미만",NA,"12.24 % (6 명)","12.24 % (6 명)"
"399","일렉트로닉아츠코리아","서울 강남구 테헤란로 129, 17층","200명 이상 ~ 400명 미만",NA,"21.13 % (45 명)","25.82 % (55 명)"
"400","톰슨로이터코리아",NA,NA,NA,NA,NA
"401","한국국제협력단","경기 성남시 수정구 대왕판교로 825","700명 이상 ~ 1000명 미만",NA,"50.20 % (386 명)","38.88 % (299 명)"
"402","한국화이자제약","서울 중구 퇴계로 110","400명 이상 ~ 700명 미만","391,878,256","17.44 % (71 명)","16.46 % (67 명)"
"403","매스프레소","서울 강남구 선릉로 428, 17층","200명 이상 ~ 400명 미만","508,630","102.61 % (157 명)","56.86 % (87 명)"
"404","오픈메이트","서울 서대문구 통일로 87, 6층","70명 이상 ~ 100명 미만","50억원 ~ 100억원","31.76 % (27 명)","29.41 % (25 명)"
"405","엠이엠씨코리아","충남 천안시 서북구 성거읍 망향로 854","700명 이상 ~ 1000명 미만","353,104,554","11.41 % (99 명)","7.60 % (66 명)"
"406","이룸디자인스킨","서울 마포구 성암로 189, 12층 1202호","20명 이상 ~ 40명 미만","18,605,395","35.90 % (14 명)","35.90 % (14 명)"
"407","전남테크노파크()",NA,NA,NA,NA,NA
"408","한국엔지니어링플라스틱","서울 중구 소공로 94","200명 이상 ~ 400명 미만","287,330,916","6.72 % (8 명)","4.20 % (5 명)"
"409","()한국장학단",NA,NA,NA,NA,NA
"410","리파코","충북 청주시 청원구 오창읍 양청송대길 70","100명 이상 ~ 200명 미만",NA,"37.36 % (34 명)","70.33 % (64 명)"
"411","비즈니스아츠","서울 강남구 강남대로 340, 6층","-","10억원 ~ 50억원","0.00 % (0 명)","33.33 % (1 명)"
"412","스카이랩","전남 화순군 동면 동농공길 12",NA,NA,NA,NA
"413","어니스트펀드","서울 영등포구 여의대로 24, 21층 비호",NA,NA,NA,NA
"414","가비아씨엔에스","경기 성남시 분당구 대왕판교로 670, 에이동 403호,404호 비동 312호,322호,323호","100명 이상 ~ 200명 미만","100억원 ~ 500억원","38.28 % (49 명)","29.69 % (38 명)"
"415","비씨카드","서울 중구 을지로 170","700명 이상 ~ 1000명 미만",NA,"16.43 % (137 명)","13.19 % (110 명)"
"416","비테스코테크놀로지스코리아","경기 이천시 사음로 45-29","700명 이상 ~ 1000명 미만","5000억 이상 ~","15.52 % (126 명)","14.41 % (117 명)"
"417","삼성물산 상사부문",NA,NA,NA,NA,NA
"418","삼성에스디에스","서울 송파구 올림픽로35길 125","1,000명 이상","4,549,427,072","4.30 % (535 명)","6.88 % (855 명)"
"419","에쓰오일",NA,NA,NA,NA,NA
"420","조선대학교","광주 동구 필문대로 309",NA,NA,NA,NA
"421","티센크루프엘리베이터코리아",NA,NA,NA,NA,NA
"422","한국과학기술원","대전 유성구 대학로 291","1,000명 이상","5000억 이상 ~","44.08 % (703 명)","45.96 % (733 명)"
"423","현대엠시트","충남 아산시 신창면 서부북로 231","200명 이상 ~ 400명 미만","436,082,572","18.32 % (48 명)","14.89 % (39 명)"
"424","비바리퍼블리카","서울 강남구 테헤란로 142, 12층","400명 이상 ~ 700명 미만","176,622,391","101.73 % (471 명)","56.37 % (261 명)"
"425","빅픽처팀","서울 강남구 역삼로 216, 지하2층, 2층, 3층, 6층","70명 이상 ~ 100명 미만","10억원 ~ 50억원","139.06 % (89 명)","104.69 % (67 명)"
"426","윙잇","서울 강남구 테헤란로32길 26","70명 이상 ~ 100명 미만","100억원 ~ 500억원","141.03 % (55 명)","69.23 % (27 명)"
"427","메리츠증권","서울 영등포구 국제금융로 10","1,000명 이상",NA,"18.75 % (264 명)","16.12 % (227 명)"
"428","아이두젠",NA,NA,NA,NA,NA
"429","에어프로덕츠코리아","경기 용인시 기흥구 농서로46번길 3","400명 이상 ~ 700명 미만","635,081,756","8.31 % (34 명)","6.85 % (28 명)"
"430","인하대학교","인천 남구 소성로 71",NA,NA,NA,NA
"431","케이피엑스그린케미칼",NA,NA,NA,NA,NA
"432","타타대우상용차","전북 군산시 동장산로 172","1,000명 이상","537,750,042","7.76 % (89 명)","3.14 % (36 명)"
"433","한국지엠","인천 부평구 부평대로 233","1,000명 이상","8,497,518,000","1.81 % (158 명)","5.11 % (445 명)"
"434","한국폴","서울 강남구 영동대로 333, 4층","100명 이상 ~ 200명 미만","176,844,561","24.07 % (26 명)","12.96 % (14 명)"
"435","혜초여행개발","서울 종로구 인사동5길 29, 12층","20명 이상 ~ 40명 미만","50억원 ~ 100억원","230.00 % (23 명)","120.00 % (12 명)"
"436","강원랜드","강원 정선군 사북읍 하이원길 265","1,000명 이상","477,474,858","19.92 % (704 명)","18.19 % (643 명)"
"437","에스에이엠티","서울 강남구 영동대로 315","100명 이상 ~ 200명 미만","1,240,458,342","45.92 % (45 명)","14.29 % (14 명)"
"438","이디엠에듀케이션",NA,NA,NA,NA,NA
"439","지엔엠라이프","서울 영등포구 선유로 130, 13층","40명 이상 ~ 70명 미만","72,574,773","19.05 % (12 명)","15.87 % (10 명)"
"440","트렌디스","서울 금천구 가산디지털2로 46, 7층","40명 이상 ~ 70명 미만","10억원 ~ 50억원","81.82 % (54 명)","81.82 % (54 명)"
"441","팜스빌","서울 강서구 마곡중앙8로3길 37","20명 이상 ~ 40명 미만","39,303,630","111.43 % (39 명)","114.29 % (40 명)"
"442","경기중소기업종합지원센터",NA,NA,NA,NA,NA
"443","머크퍼포먼스머티리얼즈","경기 평택시 포승읍 평택항로 306","100명 이상 ~ 200명 미만","553,543,620","27.04 % (43 명)","13.84 % (22 명)"
"444","바이엘코리아","서울 영등포구 여의대로 108","200명 이상 ~ 400명 미만","332,646,090","16.93 % (64 명)","22.22 % (84 명)"
"445","우미건설","전남 장성군 장성읍 영천로 144, 2층","200명 이상 ~ 400명 미만","821,046,290","70.70 % (193 명)","42.12 % (115 명)"
"446","째깍악어",NA,NA,NA,NA,NA
"447","펫박스",NA,NA,NA,NA,NA
"448","한국석유공사",NA,NA,NA,NA,NA
"449","테일러메이드코리아","서울 서초구 강남대로 369, 15층","40명 이상 ~ 70명 미만","71,147,849","26.92 % (14 명)","5.77 % (3 명)"
"450","대우건설","서울 중구 을지로 170","1,000명 이상","7,637,255,921","0.00 % (41 명)","0.00 % (28 명)"
"451","더퍼스트터치","서울 강남구 학동로21길 46, 4층","20명 이상 ~ 40명 미만","31,796,536","39.39 % (13 명)","57.58 % (19 명)"
"452","동구밭","서울 성동구 성수일로 99, 지하2층 비206호, 비207호","70명 이상 ~ 100명 미만","50억원 ~ 100억원","126.42 % (67 명)","52.83 % (28 명)"
"453","아모레퍼시픽","서울 용산구 한강대로 100","1,000명 이상","3,016,950,983","20.47 % (1046 명)","20.87 % (1066 명)"
"454","오픈놀","서울 영등포구 양평로 2","70명 이상 ~ 100명 미만","50억원 ~ 100억원","85.33 % (64 명)","70.67 % (53 명)"
"455","코오롱","경기 과천시 코오롱로 11","40명 이상 ~ 70명 미만","54,000,329","19.67 % (12 명)","14.75 % (9 명)"
"456","큐피스트","서울 강남구 논현로85길 70, 14층","40명 이상 ~ 70명 미만",NA,"146.67 % (44 명)","96.67 % (29 명)"
"457","밀버스",NA,NA,NA,NA,NA
"458","아세아시멘트","서울 강남구 논현로 430","400명 이상 ~ 700명 미만","352,858,953","12.67 % (57 명)","12.00 % (54 명)"
"459","에이비엘생명보험","서울 영등포구 의사당대로 147","700명 이상 ~ 1000명 미만",NA,"7.18 % (61 명)","11.65 % (99 명)"
"460","유풍","서울 구로구 구로동로 174","200명 이상 ~ 400명 미만","231,909,471","2.06 % (6 명)","5.15 % (15 명)"
"461","유한킴벌리","서울 송파구 올림픽로 300","1,000명 이상","1,497,793,267","4.34 % (64 명)","6.58 % (97 명)"
"462","지식시스템","경기 성남시 분당구 판교로 255, E동 503호","40명 이상 ~ 70명 미만","50억원 ~ 100억원","27.45 % (14 명)","25.49 % (13 명)"
"463","특허법인씨엔에스","서울 강남구 언주로30길 13, 7층","100명 이상 ~ 200명 미만",NA,"22.76 % (28 명)","18.70 % (23 명)"
"464","한국교통안전공단",NA,NA,NA,NA,NA
"465","한국통합민원센터","서울 중구 퇴계로 131, 2층","20명 이상 ~ 40명 미만","10억원 ~ 50억원","88.57 % (31 명)","71.43 % (25 명)"
"466","한국휴렛팩커드","서울 영등포구 국제금융로8길 31, 14층","400명 이상 ~ 700명 미만","733,251,641","9.49 % (47 명)","9.09 % (45 명)"
"467","현대하이카손해사정","서울 송파구 송파대로 570, 3층","1,000명 이상","125,694,066","7.01 % (84 명)","8.01 % (96 명)"
"468","LG화학","서울 영등포구 여의대로 128","1,000명 이상","20,830,009,000","17.23 % (2210 명)","5.55 % (712 명)"
"469","대한상공회의소","서울 중구 세종대로 39","200명 이상 ~ 400명 미만","500억원 ~ 1000억원","23.68 % (72 명)","40.79 % (124 명)"
"470","도로교통공단",NA,NA,NA,NA,NA
"471","매드업","서울 서초구 서초대로74길 4, 20층","100명 이상 ~ 200명 미만","8,301,723","130.57 % (205 명)","67.52 % (106 명)"
"472","에스엔패션그룹","서울 구로구 디지털로 257, 지층호","200명 이상 ~ 400명 미만","67,214,991","57.71 % (116 명)","60.70 % (122 명)"
"473","SK하이닉스",NA,NA,NA,NA,NA
"474","포스코에너지","서울 강남구 테헤란로 440, 서관 16층","400명 이상 ~ 700명 미만","1,446,576,056","15.26 % (78 명)","9.78 % (50 명)"
"475","한국존슨앤드존슨메디칼","서울 용산구 한강대로 92","200명 이상 ~ 400명 미만","271,535,745","23.30 % (72 명)","23.62 % (73 명)"
"476","로앤컴퍼니","서울 서초구 서초중앙로22길 17, 4층","70명 이상 ~ 100명 미만",NA,"103.92 % (53 명)","58.82 % (30 명)"
"477","경북테크노파크()",NA,NA,NA,NA,NA
"478","디엔브이코리아",NA,NA,NA,NA,NA
"479","배스킨라빈스 (매장)",NA,NA,NA,NA,NA
"480","신한금융투자","서울 영등포구 여의대로 70","1,000명 이상",NA,"18.17 % (445 명)","15.64 % (383 명)"
"481","SK플래닛",NA,NA,NA,NA,NA
"482","엘아이지넥스원","경기 용인시 기흥구 마북로 207","1,000명 이상","1,599,434,376","14.85 % (449 명)","6.48 % (196 명)"
"483","포스코건설","경북 포항시 남구 대송로 180","1,000명 이상","7,268,310,465","29.72 % (1618 명)","24.85 % (1353 명)"
"484","한국농어촌공사","전남 나주시 그린로 20","1,000명 이상","5000억 이상 ~","13.40 % (867 명)","11.10 % (718 명)"
"485","한국스파이렉스사코","서울 동작구 사당로30길 99","200명 이상 ~ 400명 미만","107,409,913","20.74 % (45 명)","22.58 % (49 명)"
"486","한국인터넷진흥원","전남 나주시 진흥길 9","700명 이상 ~ 1000명 미만","1000억원 ~ 5000억원","16.55 % (120 명)","15.03 % (109 명)"
"487","메이트플러스","서울 중구 을지로5길 16, 9층","20명 이상 ~ 40명 미만","71,507,907","9.72 % (14 명)","85.42 % (123 명)"
"488","에듀피디","서울 종로구 율곡로 202-7","20명 이상 ~ 40명 미만","50억원 ~ 100억원","27.27 % (9 명)","21.21 % (7 명)"
"489","케이씨엔에이","경기 용인시 기흥구 탑실로35번길 14","40명 이상 ~ 70명 미만","537,962,478","13.21 % (7 명)","24.53 % (13 명)"
"490","풍산","경기 평택시 포승읍 평택항로156번길 134","1,000명 이상","1,944,436,892","11.70 % (33 명)","8.87 % (25 명)"
"491","해줌","서울 송파구 법원로 128, A동 706호","70명 이상 ~ 100명 미만","14,988,797","79.25 % (42 명)","39.62 % (21 명)"
"492","대방산업개발","서울 강서구 공항대로 248, 11층","100명 이상 ~ 200명 미만","74,659,909","194.90 % (191 명)","103.06 % (101 명)"
"493","대한건설협회","서울 강남구 언주로 711","100명 이상 ~ 200명 미만",NA,"2.04 % (4 명)","8.16 % (16 명)"
"494","대한제강","부산 사하구 하신번영로 69","200명 이상 ~ 400명 미만","770,678,170","3.55 % (12 명)","4.73 % (16 명)"
"495","디딤365","서울 금천구 디지털로9길 68, 20층 2006호, 2007호, 2008호, 2009호, 2010호, 16층 1601호, 1602호 (가)","100명 이상 ~ 200명 미만","100억원 ~ 500억원","69.62 % (55 명)","32.91 % (26 명)"
"496","맨텍","서울 성동구 성수일로4길 25, 12층","100명 이상 ~ 200명 미만","14,140,259","18.63 % (19 명)","6.86 % (7 명)"
"497","비스텔","서울 서초구 바우뫼로 128","200명 이상 ~ 400명 미만","100억원 ~ 500억원","5.36 % (14 명)","103.45 % (270 명)"
"498","서울지방경찰청","서울 종로구 사직로8길 31","1명 이상 ~ 20명 미만",NA,"0.00 % (5 명)","0.00 % (2 명)"
"499","제네랄일렉트릭인터내셔날인코포레이티드","서울 강남구 학동로 343","1명 이상 ~ 20명 미만",NA,"33.33 % (5 명)","86.67 % (13 명)"
"500","푸르덴셜생명보험","서울 강남구 강남대로 298","400명 이상 ~ 700명 미만",NA,"17.96 % (88 명)","18.98 % (93 명)"
"501","한국로슈진단","서울 강남구 테헤란로108길 22","200명 이상 ~ 400명 미만","301,924,821","15.25 % (43 명)","8.51 % (24 명)"
"502","한국오츠카제약","서울 강남구 역삼로 226","200명 이상 ~ 400명 미만","188,412,764","8.12 % (31 명)","10.99 % (42 명)"
"503","한국투자신탁운용","서울 영등포구 여의대로 24","200명 이상 ~ 400명 미만",NA,"34.05 % (95 명)","31.90 % (89 명)"
"504","현대오토에버","서울 강남구 테헤란로 510","1,000명 이상","1,195,747,889","77.55 % (1814 명)","12.31 % (288 명)"
"505","()차세대융합기술연구원","경기 수원시 영통구 광교로 145","100명 이상 ~ 200명 미만",NA,"47.90 % (80 명)","44.31 % (74 명)"
"506","샌드박스네트워크","서울 용산구 서빙고로 17, 28층 28층,29층,30층","400명 이상 ~ 700명 미만","89,924,649","80.56 % (232 명)","29.51 % (85 명)"
"507","안랩","경기 성남시 분당구 판교역로 220","1,000명 이상","172,627,484","22.03 % (267 명)","18.81 % (228 명)"
"508","에스에스지닷컴","서울 종로구 우정국로 26, 5층, 6층","1,000명 이상","1,294,120,620","79.40 % (2290 명)","59.81 % (1725 명)"
"509","이호스트아이씨티","서울 금천구 가산디지털2로 98, 1동 509호","20명 이상 ~ 40명 미만","50억원 ~ 100억원","66.67 % (22 명)","48.48 % (16 명)"
"510","푸드테크","서울 강남구 삼성로85길 26, 4층","100명 이상 ~ 200명 미만","14,851,662","51.26 % (61 명)","30.25 % (36 명)"
"511","한솔케미칼","서울 강남구 테헤란로 513, 7층,8층","400명 이상 ~ 700명 미만","457,470,879","33.97 % (160 명)","19.53 % (92 명)"
"512","가비아","경기 성남시 분당구 대왕판교로 660, 비동 401호, 501호","200명 이상 ~ 400명 미만","64,097,025","21.11 % (61 명)","19.72 % (57 명)"
"513","계명대학교",NA,NA,NA,NA,NA
"514","디아지오코리아","경기 이천시 대월면 대월로932번길 94, A동","200명 이상 ~ 400명 미만","200,399,882","12.64 % (34 명)","15.24 % (41 명)"
"515","디와이","인천 남동구 남동서로362번길 36","40명 이상 ~ 70명 미만","43,212,488","9.84 % (6 명)","6.56 % (4 명)"
"516","베올리아워터코리아","경기 이천시 부발읍 경충대로 2091",NA,NA,NA,NA
"517","부산도시공사","부산 부산진구 신천대로 156","200명 이상 ~ 400명 미만","1000억원 ~ 5000억원","24.01 % (67 명)","10.39 % (29 명)"
"518","엔에이치엔","경기 성남시 분당구 대왕판교로645번길 16","700명 이상 ~ 1000명 미만","290,424,936","34.13 % (341 명)","47.35 % (473 명)"
"519","엔카닷컴","서울 중구 통일로2길 16, 18층,19층","200명 이상 ~ 400명 미만","57,895,770","47.45 % (130 명)","29.93 % (82 명)"
"520","지티플러스","서울 서초구 강남대로 329, 10층","70명 이상 ~ 100명 미만","74,852,299","10.10 % (10 명)","14.14 % (14 명)"
"521","케이비증권","서울 영등포구 여의나루로 50","1,000명 이상",NA,"26.79 % (746 명)","20.47 % (570 명)"
"522","한국과학기술기획평가원","충북 음성군 맹동면 원중로 1339","200명 이상 ~ 400명 미만","500억원 ~ 1000억원","41.74 % (149 명)","38.10 % (136 명)"
"523","한국금융연구원",NA,NA,NA,NA,NA
"524","한국다우코닝",NA,NA,NA,NA,NA
"525","한화시스템","경북 구미시 1공단로 244","1,000명 이상","1,631,867,960","16.96 % (389 명)","66.35 % (1522 명)"
"526","소셜미디어센터","서울 마포구 매봉산로 31","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"527","스마일게이트알피지",NA,NA,NA,NA,NA
"528","쥬피터익스프레스","서울 강서구 양천로 81","40명 이상 ~ 70명 미만",NA,"21.74 % (10 명)","21.74 % (10 명)"
"529","커머스웨어","서울 성동구 광나루로8길 31, 905호","100명 이상 ~ 200명 미만","13,545,614","9.52 % (12 명)","7.94 % (10 명)"
"530","큐빅테크","서울 구로구 디지털로 272, 301호, 302호, 303호","40명 이상 ~ 70명 미만","50억원 ~ 100억원","27.66 % (13 명)","23.40 % (11 명)"
"531","고려신소산업",NA,NA,NA,NA,NA
"532","넷츠","서울 강남구 논현로36길 20, 3층","100명 이상 ~ 200명 미만","12,929,244","20.19 % (21 명)","11.54 % (12 명)"
"533","메드트로닉코리아","서울 강남구 테헤란로 534, 17층","400명 이상 ~ 700명 미만","391,046,797","28.00 % (126 명)","11.56 % (52 명)"
"534","신용회복위원회(사)",NA,NA,NA,NA,NA
"535","씨제이씨지브이","서울 용산구 한강대로23길 55, 6층","1,000명 이상","325,759,755","17.12 % (184 명)","18.79 % (202 명)"
"536","엘에스산전","서울 영등포구 여의대로 128",NA,NA,NA,NA
"537","윌헴슨쉽매니지먼트코리아","부산 중구 충장대로9번길 52","200명 이상 ~ 400명 미만","10억원 ~ 50억원","157.48 % (400 명)","167.32 % (425 명)"
"538","이지스자산운용","서울 영등포구 여의공원로 115, 14층","200명 이상 ~ 400명 미만",NA,"45.40 % (143 명)","19.05 % (60 명)"
"539","카길애그리퓨리나","경기 성남시 분당구 돌마로 42","400명 이상 ~ 700명 미만","1,019,411,059","9.66 % (40 명)","8.21 % (34 명)"
"540","카테노이드","서울 강남구 봉은사로 502, 4층, 5층","70명 이상 ~ 100명 미만","12,915,179","36.99 % (27 명)","21.92 % (16 명)"
"541","한국수자원공사","대전 대덕구 신탄진로 200","1,000명 이상","5000억 이상 ~","22.19 % (1504 명)","16.47 % (1116 명)"
"542","한국이구스",NA,NA,NA,NA,NA
"543","현대모비스","서울 강남구 테헤란로 203","1,000명 이상","22,954,483,000","10.43 % (1075 명)","6.28 % (648 명)"
"544","현대엔지니어링","서울 종로구 율곡로 75","1,000명 이상","6,434,680,532","25.95 % (1569 명)","21.06 % (1273 명)"
"545","넥스젠바이오","서울 금천구 가산디지털1로 186, 703호","1명 이상 ~ 20명 미만","10억원 ~ 50억원","41.67 % (5 명)","41.67 % (5 명)"
"546","에스엘디티","서울 성동구 아차산로9길 12","70명 이상 ~ 100명 미만","10억원 ~ 50억원","828.57 % (174 명)","576.19 % (121 명)"
"547","에이블리코퍼레이션","서울 서초구 강남대로 465, 에이,비동 9층","100명 이상 ~ 200명 미만","52,614,631","155.38 % (202 명)","49.23 % (64 명)"
"548","이디야","서울 강남구 논현로 636","400명 이상 ~ 700명 미만","223,931,203","42.33 % (182 명)","30.23 % (130 명)"
"549","해안종합건축사사무소","서울 강남구 봉은사로 208","1,000명 이상","153,009,714","34.46 % (307 명)","17.85 % (159 명)"
"550","국립중앙도서관","서울 서초구 반포대로 201","200명 이상 ~ 400명 미만",NA,"13.01 % (32 명)","15.45 % (38 명)"
"551","대구도시철도공사","대구 달서구 월배로 250","1,000명 이상","1000억원 ~ 5000억원","8.27 % (238 명)","7.47 % (215 명)"
"552","딜로이트컨설팅","서울 영등포구 국제금융로 10","400명 이상 ~ 700명 미만","500억원 ~ 1000억원","62.37 % (247 명)","56.31 % (223 명)"
"553","삼익티에이치케이",NA,NA,NA,NA,NA
"554","세아베스틸","서울 마포구 양화로 45","1,000명 이상","1,394,364,933","3.91 % (58 명)","4.99 % (74 명)"
"555","세틀뱅크","서울 강남구 테헤란로34길 6, 9,10층","100명 이상 ~ 200명 미만","77,148,393","60.94 % (78 명)","41.41 % (53 명)"
"556","싸토리우스코리아바이오텍",NA,NA,NA,NA,NA
"557","오직","서울 금천구 가산디지털2로 136, 705호","1명 이상 ~ 20명 미만","10억원 ~ 50억원","38.46 % (5 명)","0.00 % (0 명)"
