"","기업명","산업군","평점","모집내용","직군","지원자격","근무조건.근무지역","마감일.등록일","본사주소","직원수","X2020년매출액.천원.","입사율.연간.입사자.","퇴사율.연간.퇴사자"
"33","한국증권금융","은행/금융업",4.2,NA,NA,NA,NA,NA,"서울 영등포구 국제금융로8길 10","400명 이상 ~ 700명 미만",NA,"13.97 % (57 명)","9.56 % (39 명)"
"34","버즈빌","IT/웹/통신",4.2,NA,NA,NA,NA,NA,"서울 송파구 석촌호수로 272, 2층, 3층, 4층, 5층","100명 이상 ~ 200명 미만","32,250,147","38.61 % (39 명)","42.57 % (43 명)"
"35","한국예탁결제원","은행/금융업",4.2,NA,NA,NA,NA,NA,"부산 남구 문현금융로 40","700명 이상 ~ 1000명 미만","1000억원 ~ 5000억원","8.15 % (58 명)","6.60 % (47 명)"
"36","삼성인력개발원","건설업",4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","베인앤드컴퍼니코리아인크","기관/협회",4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","대륜이엔에스","제조/화학",4.1,NA,NA,NA,NA,NA,"서울 노원구 덕릉로70길 54","200명 이상 ~ 400명 미만","583,650,590","7.57 % (19 명)","7.17 % (18 명)"
"39","구 카카오","IT/웹/통신",4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","베이글코드","IT/웹/통신",4.1,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 328, 16층","100명 이상 ~ 200명 미만","57,543,403","44.86 % (48 명)","32.71 % (35 명)"
"41","한국은행","은행/금융업",4.1,NA,NA,NA,NA,NA,"서울 중구 남대문로 39","1,000명 이상",NA,"17.97 % (450 명)","19.53 % (489 명)"
"42","에이스프로젝트","IT/웹/통신",4.1,NA,NA,NA,NA,NA,"서울 중구 한강대로 416, 14층 위워크 135호","40명 이상 ~ 70명 미만",NA,"30.77 % (12 명)","17.95 % (7 명)"
"43","한국원자력연구원","기관/협회",4.1,NA,NA,NA,NA,NA,"대전 유성구 대덕대로989번길 111","1,000명 이상","1000억원 ~ 5000억원","14.22 % (242 명)","13.87 % (236 명)"
"44","퀄컴씨디엠에이테크날러지코리아","유통/무역/운송",4.1,NA,NA,NA,NA,NA,"서울 용산구 한강대로 100, 15층","200명 이상 ~ 400명 미만","1000억원 ~ 5000억원","4.51 % (13 명)","2.43 % (7 명)"
"45","한국무역보험공사","은행/금융업",4.1,NA,NA,NA,NA,NA,"서울 종로구 종로 14","700명 이상 ~ 1000명 미만",NA,"11.52 % (90 명)","13.70 % (107 명)"
"46","인천국제공항공사","유통/무역/운송",4.1,NA,NA,NA,NA,NA,"인천 중구 공항로424번길 47","1,000명 이상","5000억 이상 ~","16.12 % (288 명)","14.66 % (262 명)"
