"","기업명","산업군","평점","모집내용","직군","지원자격","근무조건.근무지역","마감일.등록일","본사주소","직원수","X2020년매출액.천원.","입사율.연간.입사자.","퇴사율.연간.퇴사자"
"1007","케이티넥스알","IT/웹/통신",3.3,"Data Scientist 채용","데이터분석가웹개발SE(시스템엔지니어)데이터마이닝데이터시각화 외","신입 · 경력
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
","서울 서초구 효령로 176, B동","70명 이상 ~ 100명 미만","100억원 ~ 500억원","44.87 % (35 명)","25.64 % (20 명)"
"1008","케이티넥스알","IT/웹/통신",3.3,"[kt NexR] Data Architect 채용","데이터분석가데이터엔지니어웹개발DBASE(시스템엔지니어) 외","신입 · 경력
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
","서울 서초구 효령로 176, B동","70명 이상 ~ 100명 미만","100억원 ~ 500억원","44.87 % (35 명)","25.64 % (20 명)"
"1009","케이티넥스알","IT/웹/통신",3.3,"[kt NexR] Technical Architect 채용","데이터분석가데이터엔지니어백엔드/서버개발웹개발DBA 외","4 ~ 10년
대학교(4년)↑","정규직
서울전체","입사지원
상시채용
","서울 서초구 효령로 176, B동","70명 이상 ~ 100명 미만","100억원 ~ 500억원","44.87 % (35 명)","25.64 % (20 명)"
"1010","케이티넥스알","IT/웹/통신",3.3,"[KT NexR] 프론트엔드 개발자 채용","백엔드/서버개발웹개발퍼블리셔프론트엔드SE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울 서초구","입사지원
상시채용
","서울 서초구 효령로 176, B동","70명 이상 ~ 100명 미만","100억원 ~ 500억원","44.87 % (35 명)","25.64 % (20 명)"
"1011","두산인프라코어","제조/화학",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012","삼정케이피엠지컨설팅","기관/협회",3.3,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 152",NA,NA,NA,NA
"1013","삼정회계법인","기관/협회",3.3,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 152","1,000명 이상","5000억 이상 ~","42.53 % (1515 명)","31.16 % (1110 명)"
"1014","서울대학교병원","의료/제약/복지",3.3,NA,NA,NA,NA,NA,"서울 종로구 대학로 101","700명 이상 ~ 1000명 미만","5000억 이상 ~","73.96 % (551 명)","79.73 % (594 명)"
"1015","서울시립대학교","교육업",3.3,NA,NA,NA,NA,NA,"서울 동대문구 서울시립대로 163","700명 이상 ~ 1000명 미만",NA,"60.79 % (510 명)","56.26 % (472 명)"
"1016","아이엔지스토리","서비스업",3.3,NA,NA,NA,NA,NA,"서울 서초구 서초대로51길 14, 지하1층","70명 이상 ~ 100명 미만","25,203,031","113.33 % (68 명)","85.00 % (51 명)"
"1017","에그피알","미디어/디자인",3.3,NA,NA,NA,NA,NA,"서울 중구 정동길 12-11, 5층","1명 이상 ~ 20명 미만","10억원 ~ 50억원","188.89 % (17 명)","188.89 % (17 명)"
"1018","에이치에스디엔진","제조/화학",3.3,NA,NA,NA,NA,NA,"경남 창원시 성산구 공단로 67","700명 이상 ~ 1000명 미만","829,749,317","0.00 % (0 명)","0.00 % (0 명)"
"1019","에이티커니코리아","기관/협회",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1020","와이케이스틸","제조/화학",3.3,NA,NA,NA,NA,NA,"부산 사하구 을숙도대로 760","200명 이상 ~ 400명 미만","191,549,731","1.41 % (5 명)","10.73 % (38 명)"
"1021","조광요턴","제조/화학",3.3,NA,NA,NA,NA,NA,"부산 강서구 과학산단1로 96","200명 이상 ~ 400명 미만","199,196,336","3.98 % (13 명)","7.34 % (24 명)"
"1022","조광페인트","제조/화학",3.3,NA,NA,NA,NA,NA,"부산 사상구 삼덕로5번길 148","400명 이상 ~ 700명 미만","196,502,637","12.50 % (58 명)","15.95 % (74 명)"
"1023","크로바케미칼","제조/화학",3.3,NA,NA,NA,NA,NA,"경북 경산시 진량읍 공단8로 110","100명 이상 ~ 200명 미만","116,015,583","20.54 % (38 명)","15.68 % (29 명)"
"1024","테크로스","제조/화학",3.3,NA,NA,NA,NA,NA,"서울 강남구 삼성로 528","200명 이상 ~ 400명 미만",NA,"- % (232 명)","- % (10 명)"
"1025","펜타시스템테크놀러지","IT/웹/통신",3.3,NA,NA,NA,NA,NA,"서울 영등포구 여의공원로 115","200명 이상 ~ 400명 미만","54,521,082","56.32 % (147 명)","32.57 % (85 명)"
"1026","한국교육방송공사","미디어/디자인",3.3,NA,NA,NA,NA,NA,"경기 고양시 일산동구 한류월드로 281","400명 이상 ~ 700명 미만","1000억원 ~ 5000억원","23.11 % (147 명)","15.88 % (101 명)"
"1027","한국룬드벡","유통/무역/운송",3.3,NA,NA,NA,NA,NA,"서울 송파구 올림픽로35길 137, 19층","40명 이상 ~ 70명 미만","65,958,907","19.70 % (13 명)","24.24 % (16 명)"
"1028","한국에자이","의료/제약/복지",3.3,NA,NA,NA,NA,NA,"서울 강남구 봉은사로86길 6, 10층","100명 이상 ~ 200명 미만","209,611,055","3.16 % (6 명)","9.47 % (18 명)"
"1029","한국투자증권","은행/금융업",3.3,NA,NA,NA,NA,NA,"서울 영등포구 의사당대로 88","1,000명 이상",NA,"20.34 % (587 명)","18.50 % (534 명)"
"1030","한국환경정책평가연구원","기관/협회",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1031","현대파워텍","제조/화학",3.3,NA,NA,NA,NA,NA,"경기 화성시 동탄순환대로 878, 906호","1명 이상 ~ 20명 미만","10억원 ~ 50억원","8.33 % (1 명)","16.67 % (2 명)"
"1032","라피치","IT/웹/통신",3.3,NA,NA,NA,NA,NA,"서울 강남구 도곡로8길 6, 3층","70명 이상 ~ 100명 미만","7,930,810","46.55 % (27 명)","27.59 % (16 명)"
"1033","렛츠밀란커머스","유통/무역/운송",3.3,NA,NA,NA,NA,NA,"서울 성동구 성수일로10길 26, 16층, 17층","40명 이상 ~ 70명 미만","29,804,678","48.84 % (21 명)","48.84 % (21 명)"
"1034","비투엔","IT/웹/통신",3.3,"2022년 비투엔 상반기 각 부문 공개채용(신입/경력)","데이터분석가데이터엔지니어백엔드/서버개발정보보안프론트엔드 외","신입 · 경력
학력무관","정규직
서울 영등포구","입사지원
내일마감
","서울 영등포구 선유로 146, 2층 210호","100명 이상 ~ 200명 미만",NA,"- % (166 명)","- % (24 명)"
"1035","위민","IT/웹/통신",3.3,NA,NA,NA,NA,NA,"서울 마포구 마포대로4다길 41, 6층","1명 이상 ~ 20명 미만",NA,"50.00 % (2 명)","25.00 % (1 명)"
"1036","캠퍼스멘토","교육업",3.3,NA,NA,NA,NA,NA,"서울 서초구 강남대로 557, 9층","20명 이상 ~ 40명 미만","10억원 ~ 50억원","47.83 % (11 명)","47.83 % (11 명)"
"1037","하림펫푸드","제조/화학",3.3,NA,NA,NA,NA,NA,"충남 공주시 정안면 정안농공단지길 32-111","40명 이상 ~ 70명 미만","19,774,905","77.78 % (42 명)","61.11 % (33 명)"
"1038","하이랜드푸드","유통/무역/운송",3.3,NA,NA,NA,NA,NA,"서울 강동구 풍성로 235","40명 이상 ~ 70명 미만","586,534,971","51.67 % (31 명)","40.00 % (24 명)"
"1039","한국교육평가원","교육업",3.3,NA,NA,NA,NA,NA,"서울 금천구 가산디지털2로 108, 1401호, 1402호","1명 이상 ~ 20명 미만",NA,"87.50 % (14 명)","81.25 % (13 명)"
"1040","그레이프피알앤컨설팅","미디어/디자인",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1041","글로우데이즈","IT/웹/통신",3.3,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 410, 18층","40명 이상 ~ 70명 미만",NA,"51.06 % (24 명)","53.19 % (25 명)"
"1042","노바메저링인스트루먼트코리아","제조/화학",3.3,NA,NA,NA,NA,NA,"경기 화성시 삼성1로5길 6, 8층 807호","40명 이상 ~ 70명 미만",NA,"65.12 % (28 명)","44.19 % (19 명)"
"1043","녹십자홀딩스","기관/협회",3.3,NA,NA,NA,NA,NA,"경기 용인시 기흥구 이현로30번길 107","100명 이상 ~ 200명 미만","78,784,539","27.21 % (40 명)","29.25 % (43 명)"
"1044","대림건설","건설업",3.3,NA,NA,NA,NA,NA,"광주 광산구 신창로33번길 21-18, 2층","1명 이상 ~ 20명 미만","50억원 ~ 100억원","70.00 % (7 명)","70.00 % (7 명)"
"1045","대전마케팅공사","건설업",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1046","미스터픽","IT/웹/통신",3.3,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 447, 16층","20명 이상 ~ 40명 미만","10억원 ~ 50억원","47.22 % (17 명)","61.11 % (22 명)"
"1047","서울9호선운영","유통/무역/운송",3.3,NA,NA,NA,NA,NA,"서울 강서구 마곡중앙로 171","-",NA,"0.00 % (0 명)","0.00 % (0 명)"
"1048","서울정보시스템","IT/웹/통신",3.3,NA,NA,NA,NA,NA,"서울 서초구 서초대로42길 95, 3층","1명 이상 ~ 20명 미만","10억원 ~ 50억원","10.53 % (2 명)","15.79 % (3 명)"
"1049","신한은행","은행/금융업",3.3,"2022년 디지털/ICT 수시채용 석·박사 특별채용 공고","데이터분석가백엔드/서버개발보안컨설팅앱개발웹개발 외","신입 · 경력
석사↑","정규직
서울 중구","홈페이지 지원
~ 04/13
","서울 중구 세종대로9길 20","1,000명 이상",NA,"8.73 % (1163 명)","10.60 % (1412 명)"
"1050","신한은행","은행/금융업",3.3,"2022년 디지털/ICT 수시채용 삼성청년 SW아카데미 특별전형","데이터분석가백엔드/서버개발보안컨설팅앱개발웹개발 외","신입 · 경력
학력무관","정규직
서울 중구","홈페이지 지원
~ 04/25
","서울 중구 세종대로9길 20","1,000명 이상",NA,"8.73 % (1163 명)","10.60 % (1412 명)"
"1051","신한은행","은행/금융업",3.3,"2022년 디지털/ICT 수시채용","데이터분석가백엔드/서버개발보안컨설팅앱개발웹개발 외","신입 · 경력
학력무관","정규직
서울 중구","홈페이지 지원
~ 04/25
","서울 중구 세종대로9길 20","1,000명 이상",NA,"8.73 % (1163 명)","10.60 % (1412 명)"
"1052","신한은행","은행/금융업",3.3,"2022년 ICT 특성화고 수시채용","데이터분석가백엔드/서버개발보안컨설팅앱개발웹개발 외","신입
고졸↑","정규직
서울 중구","홈페이지 지원
~ 04/25
","서울 중구 세종대로9길 20","1,000명 이상",NA,"8.73 % (1163 명)","10.60 % (1412 명)"
"1053","신한자산운용","은행/금융업",3.3,NA,NA,NA,NA,NA,"서울 영등포구 여의대로 70","200명 이상 ~ 400명 미만",NA,"76.11 % (172 명)","26.99 % (61 명)"
"1054","씨유","건설업",3.3,NA,NA,NA,NA,NA,"전북 전주시 덕진구 삼거1길 1-18","1명 이상 ~ 20명 미만",NA,"75.00 % (3 명)","50.00 % (2 명)"
"1055","아슈리온코리아","은행/금융업",3.3,"[외국계] IT Software Engineer","백엔드/서버개발프론트엔드APIS/WCSS3 외","2 ~ 6년
대학교(4년)↑","정규직
서울 종로구","입사지원
~ 05/08
","서울 강남구 언주로 725, 2층","1명 이상 ~ 20명 미만",NA,"50.00 % (3 명)","50.00 % (3 명)"
"1056","에스케이씨","제조/화학",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057","에코네트워크","서비스업",3.3,NA,NA,NA,NA,NA,"경기 성남시 분당구 대왕판교로 660, A동 602호","20명 이상 ~ 40명 미만","39,540,703","25.81 % (8 명)","38.71 % (12 명)"
"1058","오성사","유통/무역/운송",3.3,NA,NA,NA,NA,NA,"부산 동래구 금강공원로 13-1","200명 이상 ~ 400명 미만","231,037,000","3.85 % (1 명)","3.85 % (1 명)"
"1059","온테스트","제조/화학",3.3,NA,NA,NA,NA,NA,"경기 용인시 기흥구 흥덕1로 13, 1001호","1명 이상 ~ 20명 미만","10억원 ~ 50억원","16.00 % (4 명)","44.00 % (11 명)"
"1060","유네스코아시아태평양국제이해교육원","기관/협회",3.3,NA,NA,NA,NA,NA,"서울 구로구 새말로 120","20명 이상 ~ 40명 미만",NA,"62.50 % (20 명)","71.88 % (23 명)"
"1061","유니시티코리아","유통/무역/운송",3.3,"IT 웹 개발자 모집 (Front End Developer)","데이터엔지니어백엔드/서버개발앱개발웹개발웹마스터 외","4 ~ 6년
대학교(4년)↑","정규직
서울 강남구","입사지원
~ 04/17
","서울 강남구 테헤란로 328, 3층","100명 이상 ~ 200명 미만","126,306,875","15.93 % (18 명)","18.58 % (21 명)"
"1062","이코랜스","교육업",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1063","전북테크노파크","건설업",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1064","창비","미디어/디자인",3.3,NA,NA,NA,NA,NA,"경기 파주시 회동길 184","70명 이상 ~ 100명 미만","29,295,285","17.39 % (16 명)","11.96 % (11 명)"
"1065","코리아노무법인","기관/협회",3.3,NA,NA,NA,NA,NA,"서울 구로구 디지털로33길 11, 306호","20명 이상 ~ 40명 미만",NA,"34.21 % (13 명)","31.58 % (12 명)"
"1066","한국노바티스","유통/무역/운송",3.3,NA,NA,NA,NA,NA,"서울 영등포구 국제금융로 10, 49층","400명 이상 ~ 700명 미만","532,014,981","13.04 % (69 명)","13.99 % (74 명)"
"1067","한국애보트","유통/무역/운송",3.3,NA,NA,NA,NA,NA,"서울 강남구 영동대로 421","200명 이상 ~ 400명 미만","199,695,078","20.96 % (61 명)","34.36 % (100 명)"
"1068","넷케이티아이","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"경기 성남시 분당구 운중로 135, 9층, 10층","200명 이상 ~ 400명 미만","102,948,192","35.23 % (68 명)","24.35 % (47 명)"
"1069","두핸즈","유통/무역/운송",3.2,"[두핸즈] Android Developer(안드로이드 개발자)","앱개발웹개발프론트엔드DBARDBMS 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
","서울 강남구 테헤란로44길 8, 5층","100명 이상 ~ 200명 미만","50억원 ~ 100억원","118.35 % (129 명)","67.89 % (74 명)"
"1070","두핸즈","유통/무역/운송",3.2,"[두핸즈] DevOps Engineer (DevOps 엔지니어)","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
","서울 강남구 테헤란로44길 8, 5층","100명 이상 ~ 200명 미만","50억원 ~ 100억원","118.35 % (129 명)","67.89 % (74 명)"
"1071","두핸즈","유통/무역/운송",3.2,"[두핸즈] Sr. Frontend Software Engineer (시니어 프론트엔드 소프트웨어 엔지니어)","웹개발프론트엔드ECMAScriptJavascriptReact 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
","서울 강남구 테헤란로44길 8, 5층","100명 이상 ~ 200명 미만","50억원 ~ 100억원","118.35 % (129 명)","67.89 % (74 명)"
"1072","두핸즈","유통/무역/운송",3.2,"[두핸즈] Sr. Backend Software Engineer (시니어 백엔드 소프트웨어 엔지니어)","백엔드/서버개발웹개발프론트엔드DBASE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
","서울 강남구 테헤란로44길 8, 5층","100명 이상 ~ 200명 미만","50억원 ~ 100억원","118.35 % (129 명)","67.89 % (74 명)"
"1073","두핸즈","유통/무역/운송",3.2,"[두핸즈] Data Engineer (데이터 엔지니어)","데이터분석가데이터엔지니어웹개발DBASE(시스템엔지니어) 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
","서울 강남구 테헤란로44길 8, 5층","100명 이상 ~ 200명 미만","50억원 ~ 100억원","118.35 % (129 명)","67.89 % (74 명)"
"1074","두핸즈","유통/무역/운송",3.2,"[두핸즈] Sr. Full-stack Developer (시니어 풀스택 개발자)","백엔드/서버개발앱개발웹개발퍼블리셔프론트엔드 외","5 ~ 15년
학력무관","정규직
서울전체","입사지원
~ 06/30
","서울 강남구 테헤란로44길 8, 5층","100명 이상 ~ 200명 미만","50억원 ~ 100억원","118.35 % (129 명)","67.89 % (74 명)"
"1075","소니인터랙티브엔터테인먼트코리아","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 134, 8층","70명 이상 ~ 100명 미만","71,141,113","31.88 % (44 명)","39.13 % (54 명)"
"1076","싸이맥스","제조/화학",3.2,NA,NA,NA,NA,NA,"경기 화성시 동탄산단2길 47","200명 이상 ~ 400명 미만","159,710,283","26.21 % (54 명)","20.39 % (42 명)"
"1077","아이디어키","미디어/디자인",3.2,NA,NA,NA,NA,NA,"서울 강남구 압구정로2길 45, 3층 4층","100명 이상 ~ 200명 미만","12,152,253","36.23 % (25 명)","56.52 % (39 명)"
"1078","에뛰드","제조/화학",3.2,NA,NA,NA,NA,NA,"서울 용산구 한강대로 100","100명 이상 ~ 200명 미만",NA,"16.87 % (28 명)","29.52 % (49 명)"
"1079","켐옵틱스","제조/화학",3.2,NA,NA,NA,NA,NA,"대전 유성구 테크노2로 261","100명 이상 ~ 200명 미만","21,821,722","30.08 % (40 명)","32.33 % (43 명)"
"1080","테라핀테크","IT/웹/통신",3.2,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 123, 5층","1명 이상 ~ 20명 미만","7,906,817","23.26 % (10 명)","69.77 % (30 명)"
"1081","도움과나눔","서비스업",3.2,NA,NA,NA,NA,NA,"서울 중구 무교로 15, 1407호","1명 이상 ~ 20명 미만",NA,"0.00 % (0 명)","16.67 % (1 명)"
"1082","두산정보통신","IT/웹/통신",3.2,NA,NA,NA,NA,NA,"서울 강남구 언주로 726, 21층",NA,NA,NA,NA
"1083","디엔에프","제조/화학",3.2,NA,NA,NA,NA,NA,"대전 대덕구 대화로132번길 142","200명 이상 ~ 400명 미만","83,155,225","17.46 % (33 명)","6.88 % (13 명)"
"1084","미래에셋증권","은행/금융업",3.2,NA,NA,NA,NA,NA,"서울 중구 을지로5길 26","1,000명 이상",NA,"13.97 % (560 명)","18.59 % (745 명)"
"1085","바디텍메드","의료/제약/복지",3.2,NA,NA,NA,NA,NA,"강원 춘천시 동내면 거두단지1길 43","400명 이상 ~ 700명 미만","127,271,228","47.86 % (212 명)","40.41 % (179 명)"
"1086","삼경금속","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"경기 시흥시 서해안로1332번길 24-8","1명 이상 ~ 20명 미만",NA,"0.00 % (0 명)","0.00 % (0 명)"
"1087","아웃백스테이크하우스코리아","서비스업",3.2,NA,NA,NA,NA,NA,"서울 강남구 삼성로 508, 2층","1,000명 이상","297,833,094","130.46 % (5229 명)","127.00 % (5090 명)"
"1088","에스티엑스엔진","제조/화학",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089","원익큐브","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"경기 성남시 분당구 판교로255번길 20","100명 이상 ~ 200명 미만","192,316,296","32.73 % (36 명)","25.45 % (28 명)"
"1090","전문건설공제조합","은행/금융업",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1091","전북대학교","교육업",3.2,NA,NA,NA,NA,NA,"전북 전주시 덕진구 백제대로 567","400명 이상 ~ 700명 미만",NA,"133.90 % (632 명)","124.79 % (589 명)"
"1092","츄고쿠삼화페인트","제조/화학",3.2,NA,NA,NA,NA,NA,"경남 김해시 한림면 김해대로927번길 322","100명 이상 ~ 200명 미만","101,263,155","8.59 % (14 명)","7.36 % (12 명)"
"1093","파라다이스호텔부산","서비스업",3.2,NA,NA,NA,NA,NA,"부산 해운대구 해운대해변로 296","400명 이상 ~ 700명 미만","59,222,527","27.73 % (117 명)","37.91 % (160 명)"
"1094","한국산업기술진흥원","기관/협회",3.2,NA,NA,NA,NA,NA,"서울 강남구 테헤란로 305","200명 이상 ~ 400명 미만",NA,"12.23 % (51 명)","17.03 % (71 명)"
"1095","한국아이큐비아","의료/제약/복지",3.2,NA,NA,NA,NA,NA,"서울 송파구 송파대로 558, 13층","400명 이상 ~ 700명 미만","80,958,817","56.67 % (255 명)","34.89 % (157 명)"
"1096","한국암웨이","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"서울 강남구 영동대로 517","200명 이상 ~ 400명 미만","727,679,723","17.49 % (60 명)","20.12 % (69 명)"
"1097","한국오라클","IT/웹/통신",3.2,NA,NA,NA,NA,NA,"서울 강남구 영동대로 517, 12층, 15층, 16층, 36층","700명 이상 ~ 1000명 미만","5000억 이상 ~","16.12 % (127 명)","19.04 % (150 명)"
"1098","한국지이초음파","제조/화학",3.2,NA,NA,NA,NA,NA,"경기 성남시 중원구 순환로214번길 9","100명 이상 ~ 200명 미만","162,065,207","43.31 % (68 명)","33.76 % (53 명)"
"1099","한국허벌라이프","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"서울 강남구 논현로 706, 1,2,4층","70명 이상 ~ 100명 미만","152,250,341","7.79 % (6 명)","12.99 % (10 명)"
"1100","한국환경산업기술원","기관/협회",3.2,NA,NA,NA,NA,NA,"서울 은평구 진흥로 215","400명 이상 ~ 700명 미만","5000억 이상 ~","25.89 % (152 명)","25.72 % (151 명)"
"1101","한남대학교","교육업",3.2,NA,NA,NA,NA,NA,"대전 대덕구 한남로 70",NA,NA,NA,NA
"1102","달콤한고래들","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"서울 강서구 양천로 401, B동 505호,506호","40명 이상 ~ 70명 미만","100억원 ~ 500억원","100.00 % (38 명)","78.95 % (30 명)"
"1103","도담이앤씨","건설업",3.2,NA,NA,NA,NA,NA,"인천 남동구 예술로192번길 40, 4층","100명 이상 ~ 200명 미만","56,302,734","185.71 % (481 명)","16.22 % (42 명)"
"1104","딥브레인에이아이","IT/웹/통신",3.2,"[인공지능기업] 머신러닝/딥러닝 엔지니어 채용","웹개발빅데이터AI(인공지능)C++C언어 외","3 ~ 20년
석사↑","정규직
서울 강남구","입사지원
상시채용
","서울 강남구 역삼로7길 6","70명 이상 ~ 100명 미만","10억원 ~ 50억원","218.42 % (83 명)","73.68 % (28 명)"
"1105","뱅크샐러드","IT/웹/통신",3.2,NA,NA,NA,NA,NA,"서울 영등포구 여의대로 108, 43층","100명 이상 ~ 200명 미만","4,079,755","31.01 % (80 명)","58.53 % (151 명)"
"1106","스마일게이트홀딩스","기관/협회",3.2,NA,NA,NA,NA,NA,"경기 성남시 분당구 판교역로 220, 5층","200명 이상 ~ 400명 미만","383,381,762","48.86 % (107 명)","36.99 % (81 명)"
"1107","아이마켓코리아","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"서울 강남구 삼성로 512, 16층","400명 이상 ~ 700명 미만","2,079,858,141","8.97 % (39 명)","13.79 % (60 명)"
"1108","에버리치에프앤비","서비스업",3.2,NA,NA,NA,NA,NA,"서울 서초구 강남대로37길 56-18, 4층","1명 이상 ~ 20명 미만",NA,"50.00 % (6 명)","66.67 % (8 명)"
"1109","오토위니","IT/웹/통신",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1110","이지미디어","IT/웹/통신",3.2,NA,NA,NA,NA,NA,"서울 구로구 디지털로33길 28, 1201호,1202호,1203호,1204호","70명 이상 ~ 100명 미만",NA,"48.05 % (37 명)","31.17 % (24 명)"
"1111","퀀텀앤파트너스","기관/협회",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112","넛지헬스케어","IT/웹/통신",3.2,"[캐시워크)] QA 엔지니어 채용","QA/테스터APIHTMLiOSR","경력 2년↑
학력무관","정규직
서울 강남구","입사지원
~ 06/05
","서울 강남구 역삼로1길 8","70명 이상 ~ 100명 미만","29,428,867","135.29 % (92 명)","86.76 % (59 명)"
"1113","눔코리아","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"서울 영등포구 국제금융로2길 37, 704호","70명 이상 ~ 100명 미만",NA,"18.90 % (24 명)","52.76 % (67 명)"
"1114","다인정공","제조/화학",3.2,NA,NA,NA,NA,NA,"경기 시흥시 엠티브이26로 24","200명 이상 ~ 400명 미만","66,669,838","19.66 % (46 명)","15.38 % (36 명)"
"1115","대한에프에이시스템","IT/웹/통신",3.2,NA,NA,NA,NA,NA,"서울 강남구 삼성로 570, 3층","100명 이상 ~ 200명 미만","17,104,113","25.21 % (30 명)","20.17 % (24 명)"
"1116","대한제분","제조/화학",3.2,NA,NA,NA,NA,NA,"서울 중구 세종대로 39","200명 이상 ~ 400명 미만","312,555,101","16.29 % (50 명)","18.89 % (58 명)"
"1117","봉봉랩 호텔나우","IT/웹/통신",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1118","신세계사이먼","건설업",3.2,NA,NA,NA,NA,NA,"서울 강남구 도산대로 420, 15층","100명 이상 ~ 200명 미만","175,377,257","28.18 % (31 명)","16.36 % (18 명)"
"1119","아이헤이트플라잉버그스","IT/웹/통신",3.2,NA,NA,NA,NA,NA,"서울 마포구 마포대로 45, 7층","100명 이상 ~ 200명 미만",NA,"232.79 % (142 명)","57.38 % (35 명)"
"1120","알라딘커뮤니케이션","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"서울 중구 서소문로 89-31","700명 이상 ~ 1000명 미만","429,467,102","42.29 % (417 명)","46.15 % (455 명)"
"1121","앨리슨엠앤케이","미디어/디자인",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1122","에이티지씨","의료/제약/복지",3.2,NA,NA,NA,NA,NA,"서울 강남구 자곡로7길 4, 3층,4층","20명 이상 ~ 40명 미만",NA,"21.62 % (8 명)","29.73 % (11 명)"
"1123","에프엠어소시에이츠","기관/협회",3.2,NA,NA,NA,NA,NA,"서울 중구 남대문로9길 40, 2118호","20명 이상 ~ 40명 미만","10억원 ~ 50억원","78.26 % (18 명)","69.57 % (16 명)"
"1124","오비고","IT/웹/통신",3.2,NA,NA,NA,NA,NA,"경기 성남시 분당구 판교로 338, 3층","100명 이상 ~ 200명 미만","11,618,381","13.21 % (14 명)","18.87 % (20 명)"
"1125","우리은행","은행/금융업",3.2,NA,NA,NA,NA,NA,"서울 중구 소공로 51","1,000명 이상",NA,"6.78 % (920 명)","11.48 % (1558 명)"
"1126","지에스홈쇼핑","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"서울 영등포구 선유로 75","1,000명 이상","5000억 이상 ~","8.18 % (82 명)","106.89 % (1071 명)"
"1127","코오롱인더스트리","제조/화학",3.2,NA,NA,NA,NA,NA,"서울 강서구 마곡동로 110","1,000명 이상","2,916,642,688","28.76 % (619 명)","23.93 % (515 명)"
"1128","평화드림","유통/무역/운송",3.2,NA,NA,NA,NA,NA,"서울 서초구 반포대로 22","20명 이상 ~ 40명 미만","203,035,952","12.50 % (3 명)","12.50 % (3 명)"
"1129","하이투자증권","은행/금융업",3.2,NA,NA,NA,NA,NA,"부산 동래구 온천장로 121","700명 이상 ~ 1000명 미만",NA,"18.06 % (147 명)","14.25 % (116 명)"
"1130","한국광기술원","기관/협회",3.2,NA,NA,NA,NA,NA,"광주 북구 첨단벤처로108번길 9","200명 이상 ~ 400명 미만",NA,"16.18 % (44 명)","16.54 % (45 명)"
"1131","한국국학진흥원","서비스업",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1132","링네트","IT/웹/통신",3.2,"[상암] 네트워크 상주 엔지니어 정규직 채용","기술지원데이터엔지니어유지보수정보보안CISO 외","경력 2년↑
학력무관","정규직
서울 마포구","입사지원
~ 05/08
","서울 구로구 디지털로33길 28, 1001호","200명 이상 ~ 400명 미만","146,692,148","33.19 % (77 명)","25.00 % (58 명)"
"1133","링네트","IT/웹/통신",3.2,"[서초] 네트워크 엔지니어 상주직 채용","기술지원데이터엔지니어유지보수정보보안CISO 외","경력 2년↑
학력무관","정규직 · 계약직
서울 서초구","입사지원
~ 05/29
","서울 구로구 디지털로33길 28, 1001호","200명 이상 ~ 400명 미만","146,692,148","33.19 % (77 명)","25.00 % (58 명)"
