"","unlist.company.","unlist.industry.","unlist.TPoint."
"5119","휴빌론","IT/웹/통신","2.9"
"5120","(주)노매드커넥션","IT/웹/통신","3.1"
"5121","(주)뉴스젤리","IT/웹/통신","2.4"
"5122","(주)다인","교육업","1.9"
"5123","(주)달리자","유통/무역/운송","2.5"
"5124","(주)동양저축은행","은행/금융업","3.6"
"5125","(주)디지아이","IT/웹/통신","2.4"
"5126","(주)디퍼플","미디어/디자인","3.0"
"5127","(주)매스프레소","IT/웹/통신","3.5"
"5128","(주)모아종합건설","건설업","2.2"
"5129","(주)미트뱅크","제조/화학","2.9"
"5130","(주)민커뮤니케이션","IT/웹/통신","2.2"
"5131","(주)비즈스프링","IT/웹/통신","2.5"
"5132","(주)성일에스아이엠","제조/화학","2.2"
"5133","(주)세화피앤씨","제조/화학","3.3"
"5134","(주)스페이스솔루션","제조/화학","2.4"
"5135","(주)아비드이앤에프","IT/웹/통신","2.7"
"5136","(주)알비케이이엠디","제조/화학","2.5"
"5137","(주)애니게이트","IT/웹/통신","2.5"
"5138","(주)에어패스","IT/웹/통신","2.2"
"5139","(주)에이피텍","제조/화학","3.0"
"5140","(주)원웨어","IT/웹/통신","2.9"
"5141","(주)웹스미디어컴퍼니","미디어/디자인","2.3"
"5142","(주)이노디스","IT/웹/통신","2.4"
"5143","(주)이브레인테크","유통/무역/운송","2.5"
"5144","(주)이엠아이","제조/화학","1.8"
"5145","(주)인밸류비즈","IT/웹/통신","2.2"
"5146","(주)일그램","미디어/디자인","2.8"
"5147","(주)제뉴원사이언스","의료/제약/복지","2.7"
"5148","(주)제이에스테크","제조/화학","1.5"
"5149","(주)지에스넷비전","미디어/디자인","2.5"
"5150","(주)케이티에스씨","유통/무역/운송","1.9"
"5151","(주)큐브엔터테인먼트","미디어/디자인","1.9"
"5152","(주)크래비스","제조/화학","3.3"
"5153","(주)크리에이팁","미디어/디자인","2.5"
"5154","(주)테라젠바이오","의료/제약/복지","2.5"
"5155","(주)테이스티나인","서비스업","2.3"
"5156","(주)파이토웨이","의료/제약/복지","4.0"
"5157","갤럭시아일렉트로닉스(주)","제조/화학","2.0"
"5158","그린조이(주)","건설업","2.2"
"5159","극동전자정밀(주)","제조/화학","1.5"
"5160","나라엠앤디(주)","제조/화학","3.0"
"5161","(주)큐브엔터테인먼트","미디어/디자인","1.9"
"5162","(주)크래비스","제조/화학","3.3"
"5163","(주)크리에이팁","미디어/디자인","2.5"
"5164","(주)테라젠바이오","의료/제약/복지","2.5"
"5165","(주)테이스티나인","서비스업","2.3"
"5166","(주)파이토웨이","의료/제약/복지","4.0"
"5167","갤럭시아일렉트로닉스(주)","제조/화학","2.0"
"5168","그린조이(주)","건설업","2.2"
"5169","극동전자정밀(주)","제조/화학","1.5"
"5170","나라엠앤디(주)","제조/화학","3.0"
"5171","당신의파트너(주)","미디어/디자인","2.3"
"5172","대유신소재(주)","제조/화학","2.4"
"5173","동부씨에스아이손해사정(주)","은행/금융업","2.8"
"5174","동아회원권거래소(주)","서비스업","2.2"
"5175","리얼네트웍스아시아퍼시픽(주)","IT/웹/통신","3.1"
"5176","브라이어스(주)","IT/웹/통신","1.9"
"5177","산리츠코리아(주)","제조/화학","3.0"
"5178","서영정밀(주)","제조/화학","2.0"
"5179","선경이엔씨(주)","건설업","1.8"
"5180","아이브스(주)","IT/웹/통신","2.4"
"5181","아이씨티웨이(주)","IT/웹/통신","2.8"
"5182","아주저축은행(주)","은행/금융업","2.2"
"5183","에스케이텔링크(주)","IT/웹/통신","3.1"
"5184","에쓰씨엔지니어링(주)","건설업","2.2"
"5185","에치에프알(주)","제조/화학","2.6"
"5186","에프엠어소시에이츠(주)","기관/협회","3.2"
"5187","엠코르셋(주)","제조/화학","2.5"
"5188","우체국시설관리단","서비스업","3.2"
"5189","원더피플(주)","유통/무역/운송","2.5"
"5190","원스토어(주)","IT/웹/통신","3.3"
"5191","위딘씨앤씨(주)","미디어/디자인","2.3"
"5192","이케이(주)","IT/웹/통신","2.4"
"5193","정도산업(주)","제조/화학","2.2"
"5194","정아정밀(주)","제조/화학","1.7"
"5195","제오젠(주)","IT/웹/통신","2.6"
"5196","제이미크론(주)","제조/화학","1.8"
"5197","종합건축사사무소건원(주)","건설업","2.4"
"5198","카길애그리퓨리나(주)","제조/화학","3.5"
"5199","커뮤니케이션북스(주)","미디어/디자인","2.5"
"5200","케이에이치이(주)","제조/화학","2.1"
"5201","큐익스프레스(주)","유통/무역/운송","2.3"
"5202","키움에셋플래너(주)","은행/금융업","2.8"
"5203","타타대우상용차(주)","제조/화학","3.5"
"5204","테이블링(주)","IT/웹/통신","3.8"
"5205","텍셀네트컴(주)","IT/웹/통신","2.8"
"5206","포레시아배기컨트롤시스템코리아(유)","제조/화학","2.1"
"5207","한국다이이찌산쿄(주)","의료/제약/복지","3.8"
"5208","한국솔가(주)","유통/무역/운송","2.4"
"5209","한국지체장애인협회(사)","기관/협회","2.1"
"5210","혜초여행개발(주)","서비스업","3.5"
"5211","휘닉스벤딩서비스(주)","유통/무역/운송","1.5"
"5212","힐튼호텔","서비스업","2.8"
"5213","(사)굿피플인터내셔널","기관/협회","2.7"
"5214","(사)한국고용복지센터","기관/협회","3.3"
"5215","(재)행복아이씨티","IT/웹/통신","2.6"
"5216","(주)나노브릭","제조/화학","2.0"
"5217","(주)드림","유통/무역/운송","2.4"
"5218","(주)럭스로보","IT/웹/통신","2.6"
"5219","(주)민다","서비스업","2.5"
"5220","(주)바이오일레븐","의료/제약/복지","3.6"
"5221","(주)바텍코리아","유통/무역/운송","2.0"
"5222","(주)세렌라이프","기관/협회","2.1"
"5223","(주)어니스트펀드","은행/금융업","3.5"
"5224","(주)에스엠코어","제조/화학","2.2"
"5225","(주)엔이에스","IT/웹/통신","1.9"
"5226","(주)원익테라세미콘","제조/화학","2.9"
"5227","(주)이지에이치엘디","IT/웹/통신","2.9"
"5228","(주)케이아이티이노베이션","제조/화학","2.9"
"5229","(주)테스콤","제조/화학","3.2"
"5230","(주)틸론","IT/웹/통신","2.3"
"5231","(주)팜스빌","제조/화학","3.5"
"5232","(주)푸시","IT/웹/통신","3.4"
"5233","(주)플리츠미","제조/화학","2.1"
"5234","(주)피티원프레젠테이션그룹","미디어/디자인","2.8"
"5235","(주)휴먼컨설팅그룹","IT/웹/통신","3.4"
"5236","DSR(주)","제조/화학","2.5"
"5237","가비아씨엔에스","IT/웹/통신","3.5"
"5238","경북테크노파크(재)","서비스업","3.5"
"5239","뉴리버","IT/웹/통신","2.1"
"5240","대동기어(주)","제조/화학","2.5"
"5241","대원전선(주)","제조/화학","2.9"
"5242","대한칼소닉(주)","제조/화학","2.0"
"5243","디아이디(주)","제조/화학","3.0"
"5244","디에스케이(주)","제조/화학","2.4"
"5245","룩소티카코리아(주)","유통/무역/운송","2.6"
"5246","모노링크(주)","유통/무역/운송","2.5"
"5247","모베이스(주)","제조/화학","2.0"
"5248","부산도시공사","건설업","3.5"
"5249","블루사이드(주)","IT/웹/통신","2.0"
"5250","선엔지니어링종합건축사사무소(주)","건설업","3.4"
"5251","선우플랜트엔지니어링(주)","제조/화학","2.1"
"5252","씨프로(주)","제조/화학","2.8"
"5253","씽크풀(주)","IT/웹/통신","2.7"
"5254","아이에스테크놀로지(주)","제조/화학","2.8"
"5255","야다(주)","제조/화학","2.7"
"5256","에스아이티씨컨테이너라인스코리아(주)","유통/무역/운송","2.5"
"5257","엑셀리스코리아(주)","유통/무역/운송","3.1"
"5258","엘링크링거코리아(주)","제조/화학","1.9"
"5259","엘아이지자동차손해사정(주)","은행/금융업","2.5"
"5260","엠디에스코리아(주)","제조/화학","3.0"
"5261","선우플랜트엔지니어링(주)","제조/화학","2.1"
"5262","씨프로(주)","제조/화학","2.8"
"5263","씽크풀(주)","IT/웹/통신","2.7"
"5264","아이에스테크놀로지(주)","제조/화학","2.8"
"5265","야다(주)","제조/화학","2.7"
"5266","에스아이티씨컨테이너라인스코리아(주)","유통/무역/운송","2.5"
"5267","엑셀리스코리아(주)","유통/무역/운송","3.1"
"5268","엘링크링거코리아(주)","제조/화학","1.9"
"5269","엘아이지자동차손해사정(주)","은행/금융업","2.5"
"5270","엠디에스코리아(주)","제조/화학","3.0"
"5271","웍스아웃(주)","유통/무역/운송","2.5"
"5272","위미인터내셔날(주)","유통/무역/운송","2.3"
"5273","유니티테크놀로지스코리아(유)","IT/웹/통신","4.3"
"5274","유디엠텍(주)","IT/웹/통신","2.4"
"5275","이솝코리아(유)","유통/무역/운송","2.6"
"5276","이화글로텍(주)","제조/화학","2.5"
"5277","잡인피플컨설팅(주)","교육업","1.5"
"5278","전문건설공제조합","은행/금융업","3.2"
"5279","지씨티리써치(주)","제조/화학","2.8"
"5280","지오디스코리아(주)","유통/무역/운송","2.6"
"5281","지티플러스(주)","IT/웹/통신","3.5"
"5282","크리스탈지노믹스(주)","의료/제약/복지","2.7"
"5283","태양기술개발(주)","제조/화학","2.2"
"5284","텔릿와이어리스솔루션즈(주)","제조/화학","2.7"
"5285","토요타파이낸셜서비스코리아(주)","은행/금융업","2.3"
"5286","팬택씨앤아이(주)","IT/웹/통신","2.6"
"5287","프렌트립(주)","IT/웹/통신","2.8"
"5288","한국다이요잉크(주)","제조/화학","1.9"
"5289","한국세큐리트(주)","제조/화학","2.3"
"5290","한국스파이렉스사코(주)","제조/화학","3.5"
"5291","한국오에스지(주)","제조/화학","3.0"
"5292","한국카처(주)","유통/무역/운송","2.4"
"5293","한국프랜지공업(주)","제조/화학","3.4"
"5294","한진개발공사","건설업","2.0"
"5295","현대스틸산업(주)","건설업","1.9"
"5296","화신테크(주)","제조/화학","2.5"
"5297","(재)대구경북디자인센터","기관/협회","2.2"
"5298","(재)서울창조경제혁신센터","기관/협회","2.3"
"5299","(주)나무온","미디어/디자인","2.9"
"5300","(주)동연디자인","제조/화학","2.0"
"5301","(주)디스이즈게임닷컴","IT/웹/통신","2.3"
"5302","(주)미래도시건설","건설업","2.2"
"5303","(주)미래클라우드","미디어/디자인","2.5"
"5304","(주)미트박스글로벌","IT/웹/통신","2.3"
"5305","(주)비전랜드","제조/화학","2.1"
"5306","(주)비즈니스서비스그룹","서비스업","2.0"
"5307","(주)셀트리온화학연구소","기관/협회","1.7"
"5308","(주)아이알큐더스","기관/협회","2.3"
"5309","(주)에스비에스엠앤씨","미디어/디자인","3.4"
"5310","(주)에이에스엠퍼시픽홍콩리미티드","서비스업","2.8"
"5311","(주)에코앤파트너스","기관/협회","3.0"
"5312","(주)에프에스엔","IT/웹/통신","3.3"
"5313","(주)에프엔에스리테일","제조/화학","2.7"
"5314","(주)연합인포맥스","IT/웹/통신","3.6"
"5315","(주)유니테크","제조/화학","2.5"
"5316","(주)육일씨엔에쓰","제조/화학","2.7"
"5317","(주)젠스타","서비스업","3.2"
"5318","(주)중부일보","미디어/디자인","2.1"
"5319","(주)지니웍스","IT/웹/통신","3.0"
"5320","(주)체인파트너스","은행/금융업","2.0"
"5321","(주)커머스웨어","IT/웹/통신","3.5"
"5322","(주)컨셉코퍼레이션","미디어/디자인","2.6"
"5323","(주)코엔미디어","미디어/디자인","2.2"
"5324","(주)파스토","IT/웹/통신","2.2"
"5325","(주)파워젠","IT/웹/통신","2.5"
"5326","(주)헬셀","제조/화학","1.2"
"5327","강남문화재단","기관/협회","2.4"
"5328","경기테크노파크(재)","건설업","3.4"
"5329","골드웨이(주)","유통/무역/운송","2.7"
"5330","금용기계(주)","제조/화학","2.9"
"5331","낙스넷(주)","IT/웹/통신","2.1"
"5332","대동전자(주)","제조/화학","2.2"
"5333","대한건설협회","기관/협회","3.5"
"5334","대희화학(주)","의료/제약/복지","1.5"
"5335","데이타뱅크시스템즈(주)","IT/웹/통신","2.9"
"5336","동아탱커(주)","유통/무역/운송","2.1"
"5337","라오니스(주)","IT/웹/통신","2.5"
"5338","마콘컴퍼니(주)","미디어/디자인","2.6"
"5339","미승씨앤에스검사(주)","제조/화학","1.7"
"5340","브라운네트웍스(주)","서비스업","2.5"
"5341","브이씨엔씨(주)","IT/웹/통신","3.8"
"5342","비엘엔에이치(주)","유통/무역/운송","1.9"
"5343","서울척병원","의료/제약/복지","2.3"
"5344","서한워너터보시스템즈(유)","제조/화학","2.8"
"5345","설로인(주)","서비스업","3.4"
"5346","세니온(주)","제조/화학","3.0"
"5347","세올디자인컨설팅(주)","미디어/디자인","2.0"
"5348","스카니아코리아(주)","제조/화학","2.1"
"5349","스트라입스(주)","제조/화학","2.6"
"5350","스피쿠스(주)","교육업","2.6"
"5351","씨에스피아이(주)","IT/웹/통신","3.3"
"5352","아이리시스(주)","IT/웹/통신","1.5"
"5353","아이티엑스시큐리티(주)","제조/화학","2.3"
"5354","아주대학교의료원","제조/화학","3.2"
"5355","에듀베이션(주)","IT/웹/통신","2.3"
"5356","에어레인(주)","제조/화학","1.9"
"5357","에이앤에이이엔지(주)","제조/화학","2.4"
"5358","에이프로젠제약(주)","의료/제약/복지","2.3"
"5359","엔타즈(주)","IT/웹/통신","2.6"
"5360","영동제약(주)","의료/제약/복지","2.8"
"5361","영상물등급위원회","기관/협회","2.8"
"5362","옐로우캐피탈대부(주)","은행/금융업","2.4"
"5363","옴니피앤씨(주)","IT/웹/통신","2.0"
"5364","웹뜰(주)","유통/무역/운송","1.6"
"5365","윙스풋코리아(주)","유통/무역/운송","2.4"
"5366","이룸엠케이(주)","유통/무역/운송","2.1"
"5367","인스웨이브시스템즈(주)","IT/웹/통신","3.0"
"5368","제너럴바이오(주)","제조/화학","3.8"
"5369","종합전기(주)","건설업","2.2"
"5370","지온네트웍스(주)","IT/웹/통신","2.6"
"5371","케이티엔지(주) 소망화장품","제조/화학","2.8"
"5372","코스모진여행사(주)","서비스업","1.6"
"5373","코코브루니(주)","서비스업","2.9"
"5374","콜로플라스트코리아(주)","유통/무역/운송","2.6"
"5375","키위플(주)","IT/웹/통신","3.3"
"5376","푸르넷닷컴(주)","IT/웹/통신","2.0"
"5377","프뢰벨행복나누기(주)","유통/무역/운송","1.8"
"5378","픽셀플러스(주)","제조/화학","2.7"
"5379","한국신용평가(주)","서비스업","3.2"
"5380","한국에스웨이(주)","서비스업","2.4"
"5381","케이티엔지(주) 소망화장품","제조/화학","2.8"
"5382","코스모진여행사(주)","서비스업","1.6"
"5383","코코브루니(주)","서비스업","2.9"
"5384","콜로플라스트코리아(주)","유통/무역/운송","2.6"
"5385","키위플(주)","IT/웹/통신","3.3"
"5386","푸르넷닷컴(주)","IT/웹/통신","2.0"
"5387","프뢰벨행복나누기(주)","유통/무역/운송","1.8"
"5388","픽셀플러스(주)","제조/화학","2.7"
"5389","한국신용평가(주)","서비스업","3.2"
"5390","한국에스웨이(주)","서비스업","2.4"
"5391","한국오길비앤매더(주)","미디어/디자인","2.3"
"5392","한국이구스(주)","제조/화학","3.5"
"5393","한국조에티스(주)","유통/무역/운송","2.6"
"5394","한길씨앤씨(주)","IT/웹/통신","2.1"
"5395","한라산업개발(주)","건설업","2.3"
"5396","한산리니어시스템(주)","제조/화학","2.3"
"5397","허브넷(주)","미디어/디자인","2.8"
"5398","(유)쿡메디칼코리아","유통/무역/운송","2.8"
"5399","(주)건화","제조/화학","2.5"
"5400","(주)남선알미늄","제조/화학","2.9"
"5401","한국오길비앤매더(주)","미디어/디자인","2.3"
"5402","한국이구스(주)","제조/화학","3.5"
"5403","한국조에티스(주)","유통/무역/운송","2.6"
"5404","한길씨앤씨(주)","IT/웹/통신","2.1"
"5405","한라산업개발(주)","건설업","2.3"
"5406","한산리니어시스템(주)","제조/화학","2.3"
"5407","허브넷(주)","미디어/디자인","2.8"
"5408","(유)쿡메디칼코리아","유통/무역/운송","2.8"
"5409","(주)건화","제조/화학","2.5"
"5410","(주)남선알미늄","제조/화학","2.9"
"5411","(주)대호피앤씨","제조/화학","2.3"
"5412","(주)더블유에프엠 이보영의토킹클럽","교육업","2.8"
"5413","(주)디자인파크개발","제조/화학","2.4"
"5414","(주)리앙커뮤니케이션즈","IT/웹/통신","2.3"
"5415","(주)망고플레이트","IT/웹/통신","2.5"
"5416","(주)모닝엔터컴","서비스업","2.9"
"5417","(주)미궁365","IT/웹/통신","2.6"
"5418","(주)바이오솔루션","의료/제약/복지","2.2"
"5419","(주)브이엔티지","IT/웹/통신","2.2"
"5420","(주)비츠로밀텍","제조/화학","4.5"
"5421","(주)비트망고","IT/웹/통신","3.2"
"5422","(주)샤오링엔터테인먼트","미디어/디자인","3.2"
"5423","(주)아이앤씨테크놀로지","제조/화학","2.5"
"5424","(주)아이티뱅크","IT/웹/통신","2.2"
"5425","(주)엘비즈코리아","유통/무역/운송","1.9"
"5426","(주)엠피알디","IT/웹/통신","2.3"
"5427","(주)온라인파워스","IT/웹/통신","2.8"
"5428","(주)우신화장품","제조/화학","2.0"
"5429","(주)우암코퍼레이션","제조/화학","1.8"
"5430","(주)위드네트웍스","유통/무역/운송","2.4"
"5431","(주)유시스","IT/웹/통신","1.9"
"5432","(주)인사이드정보","IT/웹/통신","2.7"
"5433","(주)인터오리진","미디어/디자인","3.1"
"5434","(주)조이렌트카","서비스업","2.0"
"5435","(주)즐거운","IT/웹/통신","2.8"
"5436","(주)청명기연환경","건설업","2.4"
"5437","(주)크린랲","제조/화학","2.8"
"5438","(주)태강대부","은행/금융업","2.1"
"5439","(주)파마엔텍","서비스업","1.7"
"5440","(주)포시","미디어/디자인","2.1"
"5441","(주)한성아이티엘","IT/웹/통신","3.6"
"5442","(주)해피콜","제조/화학","2.4"
"5443","(주)화이어웍스","미디어/디자인","2.0"
"5444","나프미디어앤디자인(주)","미디어/디자인","1.9"
"5445","네오뷰코오롱(주)","제조/화학","3.2"
"5446","다슈코리아","유통/무역/운송","2.5"
"5447","대동백화점(주)","유통/무역/운송","2.1"
"5448","대상라이프사이언스(주)","제조/화학","1.7"
"5449","대신금속(주)","제조/화학","2.5"
"5450","동은정보기술(주)","IT/웹/통신","2.7"
"5451","드림라인","IT/웹/통신","3.1"
"5452","렉스젠(주)","제조/화학","2.5"
"5453","로코모(주)","IT/웹/통신","1.9"
"5454","미디어솔루션(주)","IT/웹/통신","2.0"
"5455","바네스데코아이엔티(주)","유통/무역/운송","2.3"
"5456","삼성정밀화학(주)","제조/화학","2.8"
"5457","서울금속(주)","제조/화학","2.0"
"5458","센티널테크놀로지(주)","IT/웹/통신","2.4"
"5459","스미스앤드네퓨(주)","의료/제약/복지","3.7"
"5460","스탠포드호텔코리아(주)","서비스업","2.4"
"5461","시지온(주)","IT/웹/통신","2.8"
"5462","신일전자(주)","유통/무역/운송","2.4"
"5463","아바드(주)","IT/웹/통신","2.2"
"5464","아비코전자(주)","제조/화학","2.5"
"5465","아츠리퍼블릭(주)","서비스업","1.2"
"5466","알리코제약(주)","의료/제약/복지","2.1"
"5467","에이아이비트(주)","제조/화학","2.3"
"5468","에이치엘비(주)","제조/화학","2.5"
"5469","에프지아이(주)","IT/웹/통신","1.9"
"5470","엔탑(주)","제조/화학","2.0"
"5471","엘지(주)","기관/협회","3.3"
"5472","연우(주)","제조/화학","2.6"
"5473","영창뮤직(주)","제조/화학","1.8"
"5474","오로스테크놀로지(주)","제조/화학","3.6"
"5475","와브코코리아(유)","제조/화학","2.5"
"5476","와이즈폴(주)","기관/협회","2.3"
"5477","웰게이트(주)","IT/웹/통신","3.1"
"5478","위메이드아이오(주)","IT/웹/통신","2.5"
"5479","윌링스(주)","제조/화학","2.6"
"5480","이노빈(주)","미디어/디자인","2.8"
"5481","이원(주)","유통/무역/운송","3.6"
"5482","이지오스(주)","서비스업","2.9"
"5483","제일특허법인(유)","기관/협회","3.4"
"5484","주광정밀(주)","제조/화학","2.2"
"5485","케이디디아이코리아(주)","IT/웹/통신","2.4"
"5486","태전약품판매(주)","유통/무역/운송","2.6"
"5487","탠디(주)","제조/화학","1.8"
"5488","통일연구원","기관/협회","3.0"
"5489","티씨씨동양(주)","제조/화학","2.7"
"5490","티엔엠에스(주)","기관/협회","1.8"
"5491","포스뱅크(주)","제조/화학","2.3"
"5492","프리닉스(주)","제조/화학","3.0"
"5493","피엔에스테크놀러지(주)","제조/화학","2.4"
"5494","하나대투증권(주)","은행/금융업","3.1"
"5495","하나생명보험(주)","은행/금융업","3.0"
"5496","하이디스테크놀로지(주)","제조/화학","3.2"
"5497","한일제관(주)","제조/화학","3.0"
"5498","(재)행복나눔재단","의료/제약/복지","3.1"
"5499","(주)가온스","IT/웹/통신","1.7"
"5500","(주)게이즈","IT/웹/통신","2.1"
"5501","(주)견우푸드","제조/화학","2.4"
"5502","(주)공공프리즘","기관/협회","2.2"
"5503","(주)녹채원","제조/화학","1.6"
"5504","(주)다이아덴트","제조/화학","2.4"
"5505","(주)닥터스랩","제조/화학","3.3"
"5506","(주)대주","제조/화학","2.2"
"5507","(주)동남합성","제조/화학","3.0"
"5508","(주)듀크린","제조/화학","2.7"
"5509","(주)레디엔터테인먼트","미디어/디자인","3.1"
"5510","(주)로사케이","제조/화학","2.0"
"5511","(주)비에스에스스포츠","IT/웹/통신","2.3"
"5512","(주)서린바이오사이언스","유통/무역/운송","2.8"
"5513","(주)서플러스글로벌","유통/무역/운송","2.3"
"5514","(주)세움","서비스업","2.5"
"5515","(주)에바스코스메틱","제조/화학","1.4"
"5516","(주)에스제이엠","제조/화학","2.8"
"5517","(주)영신디엔씨","건설업","2.7"
"5518","(주)익스피디아코리아","서비스업","4.3"
"5519","(주)제이티넷","IT/웹/통신","2.7"
"5520","(주)제일건설","건설업","2.5"
"5521","(주)채움에이치알디","교육업","1.8"
"5522","(주)파이닉스알엔디","제조/화학","2.2"
"5523","(주)하나투어아이티씨","서비스업","2.1"
"5524","(주)하남에프앤비","서비스업","2.3"
"5525","(주)해줌","IT/웹/통신","3.5"
"5526","계영티앤아이(주)","IT/웹/통신","1.7"
"5527","굿모닝물류(주)","유통/무역/운송","2.6"
"5528","극동티엘에스(주)","유통/무역/운송","1.7"
"5529","나눔기술(주)","IT/웹/통신","2.4"
"5530","농업회사법인(주)에프앤피","의료/제약/복지","1.5"
"5531","농협케미컬(주)","제조/화학","2.7"
"5532","더에이치알더(주)","기관/협회","1.9"
"5533","동부엘이디(주)","제조/화학","2.6"
"5534","동아원(주)","제조/화학","2.7"
"5535","디딤365(주)","IT/웹/통신","3.5"
"5536","로지스팟(주)","IT/웹/통신","2.7"
"5537","리치코리아(유)","유통/무역/운송","1.7"
"5538","바이오이즈(주)","의료/제약/복지","1.7"
"5539","법무법인 로고스","기관/협회","3.0"
"5540","삼건세기(주)","제조/화학","3.2"
"5541","삼박엘에프티(주)","제조/화학","2.5"
"5542","상상의숲(주)","미디어/디자인","2.3"
"5543","세화(주)","제조/화학","2.3"
"5544","셀플러스","제조/화학","1.4"
"5545","스콥정보통신(주)","IT/웹/통신","2.9"
"5546","스톤브랜드커뮤니케이션즈(유)","미디어/디자인","2.4"
"5547","시너지미디어(주)","미디어/디자인","2.7"
"5548","아마넥스(주)","제조/화학","1.8"
"5549","아트엠","미디어/디자인","1.7"
"5550","에스티엑스마린서비스(주)","유통/무역/운송","3.3"
"5551","에이치디씨아이파크몰(주)","유통/무역/운송","2.2"
"5552","엘림넷(주)","IT/웹/통신","3.1"
"5553","엘에치이(주)","제조/화학","3.3"
"5554","엠비아이솔루션(주)","IT/웹/통신","3.9"
"5555","오오씨엘코리아(주)","유통/무역/운송","2.2"
"5556","외환펀드서비스(주)","은행/금융업","2.2"
"5557","우성파워텍(주)","제조/화학","2.2"
"5558","우원개발(주)","건설업","2.5"
"5559","웰시스(주)","서비스업","2.5"
"5560","일조(주)","유통/무역/운송","1.8"
"5561","잘만테크(주)","IT/웹/통신","2.4"
"5562","제스타드(주)","미디어/디자인","2.2"
"5563","제이알씨글로벌교육(주)","교육업","1.9"
"5564","조선뉴스프레스(주)","미디어/디자인","3.1"
"5565","중흥종합건설(주)","건설업","2.2"
"5566","지에스파크이십사(주)","유통/무역/운송","2.6"
"5567","카코뉴에너지(주)","제조/화학","2.8"
"5568","케이비투자증권(주)","은행/금융업","2.8"
"5569","케이피엑스그린케미칼(주)","제조/화학","3.5"
"5570","코스텔(주)","제조/화학","1.9"
"5571","퀄컴씨디엠에이테크날러지코리아(유)","유통/무역/운송","4.1"
"5572","트라이얼코리아(주)","유통/무역/운송","2.6"
"5573","판타지오(주)","미디어/디자인","2.2"
"5574","풍림산업(주)","건설업","2.6"
"5575","하렉스인포텍(주)","IT/웹/통신","3.3"
"5576","한국형사정책연구원","기관/협회","2.9"
"5577","한네트(주)","IT/웹/통신","2.2"
"5578","한일프로텍(주)","기관/협회","2.5"
"5579","(주)넷아이디","IT/웹/통신","2.7"
"5580","(주)다우인큐브","IT/웹/통신","2.1"
"5581","(주)로그온커머스","유통/무역/운송","2.8"
"5582","(주)루시드프로모커뮤니케이션즈","서비스업","2.2"
"5583","(주)맥스로텍","제조/화학","3.1"
"5584","(주)미래엔서해에너지","제조/화학","3.1"
"5585","(주)미플즈","미디어/디자인","2.5"
"5586","(주)블리스트","제조/화학","2.7"
"5587","(주)비에스렌탈","서비스업","2.8"
"5588","(주)삼우에프앤지","유통/무역/운송","3.1"
"5589","(주)세포아소프트","IT/웹/통신","2.4"
"5590","(주)소셜미디어센터","IT/웹/통신","3.5"
"5591","(주)스탠더드시험연구소","기관/협회","2.9"
"5592","(주)시큐레이어","IT/웹/통신","3.1"
"5593","(주)신라시스템","IT/웹/통신","2.3"
"5594","(주)실론","제조/화학","2.5"
"5595","(주)알엔투테크놀로지","제조/화학","2.6"
"5596","(주)에이제이월드","제조/화학","2.5"
"5597","(주)에이투엠","IT/웹/통신","2.9"
"5598","(주)엔비전스","미디어/디자인","1.8"
"5599","(주)영흥","제조/화학","3.0"
"5600","(주)워터정보","IT/웹/통신","2.3"
"5601","(주)웨어밸리","IT/웹/통신","2.1"
"5602","(주)자란다","IT/웹/통신","3.4"
"5603","(주)진앤현시큐리티","IT/웹/통신","3.0"
"5604","(주)켐옵틱스","제조/화학","3.2"
"5605","(주)코비스타","서비스업","2.1"
"5606","(주)코어씨앤씨","기관/협회","2.4"
"5607","(주)코인트써비스","서비스업","2.4"
"5608","(주)크린텍","유통/무역/운송","2.2"
"5609","(주)트루엔","제조/화학","2.6"
"5610","(주)티엘엑스패스","서비스업","1.8"
"5611","(주)폼웍스","제조/화학","2.4"
"5612","(주)피디그룹","건설업","2.3"
"5613","(주)피타소프트","제조/화학","2.6"
"5614","(주)해피머니아이엔씨","서비스업","2.4"
"5615","(주)현대캐터링시스템","서비스업","2.6"
"5616","S&T중공업(주)","제조/화학","2.3"
"5617","가람감정평가법인(주)","건설업","3.0"
"5618","가온감정평가법인(주)","건설업","2.1"
"5619","경방(주)","제조/화학","2.3"
"5620","경일감정평가법인","건설업","2.4"
"5621","골드오션커뮤니케이션즈(주)","미디어/디자인","2.4"
"5622","굿윌커뮤니케이션즈(주)","미디어/디자인","2.8"
"5623","금호피앤비화학(주)","제조/화학","2.8"
"5624","남광토건(주)","건설업","2.8"
"5625","네오미오(주)","유통/무역/운송","2.5"
"5626","대원씨앤씨(주)","IT/웹/통신","2.8"
"5627","대화기기(주)","유통/무역/운송","2.4"
"5628","도서출판한국헤르만헤세(주)","미디어/디자인","1.6"
"5629","동도전자(주)","유통/무역/운송","2.2"
"5630","동양철관(주)","제조/화학","2.9"
"5631","디아이동일(주)","유통/무역/운송","2.4"
"5632","리본즈코리아(주)","IT/웹/통신","2.7"
"5633","마르센(주)","제조/화학","1.8"
"5634","맥슨모터코리아(주)","유통/무역/운송","3.0"
"5635","문화일보(주)","미디어/디자인","3.1"
"5636","미래생활(주)","제조/화학","2.6"
"5637","민병철어학원(주)","교육업","2.7"
"5638","바나플(유)","IT/웹/통신","3.1"
"5639","비스토스(주)","제조/화학","2.7"
