"","unlist.company.","unlist.industry.","unlist.TPoint."
"128","SK텔레콤(주)","IT/웹/통신","4.0"
"129","(유)스태츠칩팩코리아","제조/화학","2.5"
"130","삼성생명보험(주)","은행/금융업","2.9"
"131","현대건설(주)","건설업","3.4"
"132","(주)인터파크","유통/무역/운송","2.6"
"133","(주)교원","서비스업","2.8"
"134","(주)유라코퍼레이션","제조/화학","2.7"
"135","요기요","IT/웹/통신","3.0"
"136","아웃백스테이크하우스코리아(유)","서비스업","3.2"
"137","지마켓글로벌유한책임회사","유통/무역/운송","3.7"
"138","(주)넥슨코리아","IT/웹/통신","3.7"
"139","(주)안랩","IT/웹/통신","3.5"
"140","삼성엔지니어링(주)","제조/화학","3.1"
"141","(주)사람인에이치알","IT/웹/통신","3.0"
"142","(주)문화방송","미디어/디자인","3.1"
"143","신한은행(주)","은행/금융업","3.3"
"144","(주)야놀자","IT/웹/통신","2.8"
"145","한국콜마(주)","제조/화학","2.6"
"146","한국아이비엠(주)","IT/웹/통신","3.1"
"147","(주)에스원","서비스업","2.8"
"148","(주)아성다이소","유통/무역/운송","2.6"
"149","한국과학기술연구원","기관/협회","3.7"
"150","(주)웅진씽크빅","미디어/디자인","3.1"
"151","세아상역(주)","제조/화학","3.0"
"152","(주)LF","제조/화학","3.1"
"153","제일기획(주)","미디어/디자인","3.6"
"154","(주)대교","교육업","2.5"
"155","오뚜기(주)","제조/화학","2.5"
"156","(주)이디야","유통/무역/운송","3.4"
"157","롯데하이마트(주)","유통/무역/운송","2.6"
"158","(주)메타넷엠플랫폼","서비스업","2.4"
"159","우리은행(주)","은행/금융업","3.2"
"160","메가박스중앙(주)","미디어/디자인","3.1"
"161","(주)녹십자","의료/제약/복지","3.1"
"162","해태제과식품(주)","제조/화학","2.3"
"163","두산인프라코어(주)","제조/화학","3.3"
"164","한국방송공사","미디어/디자인","3.3"
"165","한솔섬유(주)","제조/화학","2.5"
"166","코웨이(주)","서비스업","3.0"
"167","(주)티맥스소프트","IT/웹/통신","2.8"
"168","신용보증기금","은행/금융업","4.0"
"169","하이프라자(주)","유통/무역/운송","2.6"
"170","(주)코리아써키트","제조/화학","2.5"
"171","한국유나이티드제약(주)","의료/제약/복지","2.7"
"172","이트너스(주)","서비스업","2.7"
"173","던킨/던킨도너츠 (매장)","서비스업","3.3"
"174","(주)대우건설","건설업","3.5"
"175","(주)삼구아이앤씨","서비스업","2.7"
"176","제일약품(주)","의료/제약/복지","2.7"
"177","(주)셀트리온","의료/제약/복지","3.4"
"178","한국국제협력단","기관/협회","3.6"
"179","캐논코리아(주)","제조/화학","2.6"
"180","(주)일진글로벌홀딩스","제조/화학","3.2"
"181","(주)서브원","유통/무역/운송","2.8"
"182","(주)에어코리아","유통/무역/운송","2.2"
"183","(주)케이티스","IT/웹/통신","2.6"
"184","삼성바이오로직스(주)","의료/제약/복지","3.7"
"185","(주)한국능률협회컨설팅","기관/협회","2.9"
"186","아발론교육(주)","교육업","2.3"
"187","(주)케이티알파","IT/웹/통신","2.8"
"188","한국후지필름비즈니스이노베이션(주)","제조/화학","2.4"
"189","한세실업(주)","제조/화학","2.6"
"190","이투스교육(주)","교육업","2.6"
"191","(주)서브원","유통/무역/운송","2.8"
"192","(주)에어코리아","유통/무역/운송","2.2"
"193","(주)케이티스","IT/웹/통신","2.6"
"194","삼성바이오로직스(주)","의료/제약/복지","3.7"
"195","(주)한국능률협회컨설팅","기관/협회","2.9"
"196","아발론교육(주)","교육업","2.3"
"197","(주)케이티알파","IT/웹/통신","2.8"
"198","한국후지필름비즈니스이노베이션(주)","제조/화학","2.4"
"199","한세실업(주)","제조/화학","2.6"
"200","이투스교육(주)","교육업","2.6"
"201","씨제이프레시웨이(주)","유통/무역/운송","2.6"
"202","뚜레쥬르 (매장)","서비스업","3.4"
"203","한국미니스톱(주)","유통/무역/운송","2.5"
"204","에듀플렉스 (매장)","교육업","2.7"
"205","아시아나항공(주)","유통/무역/운송","3.1"
"206","한국스탠다드차타드은행(주)","은행/금융업","3.0"
"207","데상트코리아(주)","유통/무역/운송","3.0"
"208","한화생명보험(주)","은행/금융업","2.9"
"209","서울대학교병원","의료/제약/복지","3.3"
"210","에스엘(주)","제조/화학","3.0"
"211","(주)효성","제조/화학","2.7"
"212","메가스터디교육(주)","교육업","2.6"
"213","미라콤아이앤씨(주)","IT/웹/통신","2.9"
"214","(주)이엠넷","미디어/디자인","2.5"
"215","국립암센터","의료/제약/복지","2.5"
"216","삼성전자판매(주)","유통/무역/운송","3.2"
"217","지에스건설(주)","건설업","3.2"
"218","한국수자원공사","제조/화학","3.5"
"219","에스케이에코플랜트(주)","건설업","3.2"
"220","한국환경공단","기관/협회","3.7"
"221","(주)천재교육","미디어/디자인","2.6"
"222","코스맥스(주)","제조/화학","2.7"
"223","씨유 (매장)","유통/무역/운송","3.7"
"224","(주)비상교육","미디어/디자인","3.1"
"225","르노삼성자동차(주)","제조/화학","2.9"
"226","샘표식품(주)","제조/화학","2.6"
"227","(주)미미박스","제조/화학","2.6"
"228","한국마사회","서비스업","3.9"
"229","디엘(주)","건설업","3.2"
"230","하나은행(주)","은행/금융업","3.1"
"231","(주)인라이플","IT/웹/통신","2.9"
"232","닐슨코리아","기관/협회","2.5"
"233","인피닉(주)","IT/웹/통신","2.1"
"234","엔에이치엔(주)","IT/웹/통신","3.5"
"235","한국전자기술연구원","기관/협회","3.2"
"236","(주)교원구몬","미디어/디자인","2.3"
